R%_5;HLC_CCI_14;K%_10;K%_14
-8.499999999999375;-81.52773841584465;-5.500000000000682;-53.50000000000108
-23.499999999999943;-60.496752236888426;4.5000000000001705;-43.99999999999977
-41.4999999999992;-36.76362066745908;29.99999999999972;-39.50000000000102
7.999999999999829;-87.79963369007544;-28.49999999999966;-55.50000000000068
-12.000000000000457;-84.81027180592146;-8.499999999999375;-14.000000000000057
-17.00000000000017;-95.2545636197191;-10.999999999999943;-6.999999999999318
-3.999999999999204;0.4398179841420506;-26.500000000000057;3.499999999999659
-3.999999999999204;41.3518132860135;5.999999999998806;-21.999999999999886
-17.499999999999716;100.7858225796186;0.4999999999995452;-7.999999999999829
-16.499999999999204;94.97226198929567;-1.0000000000005116;-11.50000000000091
-28.000000000000117;39.40904354237632;-9.000000000000341;-34.99999999999943
11.499999999999488;54.52368884104812;-1.5000000000000568;4.999999999999716
54.00000000000063;-25.933593426848983;-41.00000000000108;-40.00000000000057
5.500000000000682;70.4341722807453;13.49999999999909;12.999999999999543
-8.99999999999892;77.75154567379265;40.500000000000114;31.99999999999932
-7.499999999998863;132.58558233289162;25.99999999999909;24.499999999999037
-4.000000000000625;63.97097427251429;10.500000000000398;17.499999999999716
-1.0000000000005116;-13.998620979991635;1.5000000000000568;14.499999999999602
-17.499999999999716;-76.57278649967535;-7.500000000000284;33.5000000000008
-12.5;-56.59766380045328;-2.499999999999148;23.499999999999943
12.999999999999543;28.328606216743985;-6.000000000000227;4.000000000000625
-31.499999999999773;77.5563083450351;25.0;26.9999999999996
-39.4999999999996;-95.18701622048448;7.500000000000284;0.4999999999995452
-35.99999999999994;-162.51923604658415;-7.500000000000284;-9.999999999999432
1.0000000000005116;-177.8622589563566;-20.000000000000284;-25.500000000000966
20.000000000000284;-144.67044719591746;-48.49999999999994;-23.99999999999949
-26.00000000000051;-90.68684519962063;-9.999999999999432;-2.499999999999148
-65.99999999999966;-54.336553633307645;20.99999999999937;13.49999999999909
-63.49999999999909;-74.56187780003076;0.0;-20.000000000000284
-65.50000000000011;-64.83024945724051;-15.500000000000114;-63.50000000000051
-26.00000000000051;-73.61922439159287;-89.00000000000006;-98.99999999999947
4.5000000000001705;-72.76694196757744;-117.00000000000016;-96.50000000000034
7.999999999999829;-84.5983990363284;-70.49999999999983;-70.49999999999983
-9.999999999999432;-98.6396938629629;-42.49999999999972;-57.99999999999983
1.0000000000005116;-104.81484774287156;6.999999999999318;-82.00000000000074
3.499999999999659;-94.92159835383563;24.00000000000091;-92.99999999999926
-20.99999999999937;-85.66140127008403;34.499999999999886;-35.99999999999994
-53.000000000000114;-67.34228640912771;28.000000000000117;-14.999999999999147
