ADX_14;Fechamento_TSI_13:25;R%_14;Mínimo_ROC_5
12.439126616448911;6.35761243758138;-526.5999999999622;-0.215754321231967
14.547600210446657;9.326908160128989;-116.99999999991633;-0.2697452310536796
15.034720182387565;9.250667696249756;-702.0999999999731;-0.0269805076209573
14.503938443783312;8.848025345350164;409.5999999999549;0.0810589693996944
14.275275222707483;8.182521553194439;-409.6000000000458;0.0450485554121901
14.308448050155986;9.819771210675976;1521.2999999999738;-0.0630663325095327
13.61825973870668;10.938671035534572;1404.2999999999663;0.0901531386111772
12.574206059259897;9.56064271967035;2165.0000000000546;-0.0809787448479022
11.984278584691843;9.186722070831497;526.6000000000531;-0.1619866341032336
11.985712868637624;11.272740262969986;292.60000000003856;-0.1080832442645872
11.992446390914523;9.855028427564552;58.50000000000364;0.0991733805520014
11.772586872125832;4.905713379603071;702.0999999999731;0.2792368562477476
12.431889574889922;1.2694561456308424;-234.00000000001452;0.2971678331095383
14.669480488714145;-5.15987785885466;-1404.3000000000577;0.6670221201222245
17.592268804504773;-11.605853430987205;-877.7000000000044;0.8386015622375351
21.457209154380443;-18.88553630559276;-351.09999999995125;0.8825643480388827
26.89092888617753;-24.71215120424738;-175.5000000000109;0.6557049384577132
31.38841932040168;-28.204555985236297;-1755.2999999999884;0.5207316758795125
32.95969198244348;-29.572936011994077;-2281.999999999971;0.1253493552794911
33.006294956213004;-30.2009935857965;-4446.900000000005;0.0715233901353256
32.1801842001465;-31.382912207882008;-4798.000000000047;0.0089252598738172
30.73424059250782;-33.35491531920755;-6085.199999999986;0.1160174726248632
28.650732323030525;-35.336585895356954;-7138.300000000072;0.241156967265663
26.532982299007354;-38.00846488530538;-6962.899999999991;0.4203292571538997
24.981794182949223;-38.91025722254376;-5558.500000000004;0.2770161365450262
23.935583529984594;-39.32460875149565;-3744.700000000012;0.2142328866931915
23.36049144027239;-39.50620211326864;-3920.199999999932;-0.035662175456676
21.937006867283745;-37.33787273962882;-3042.599999999948;-0.2405767995519188
21.124063094503065;-32.747796410856964;-2457.399999999961;-0.4452812831942435
22.34204515809312;-27.55335125804032;-2281.900000000041;-0.5168491104277038
25.041467708442635;-21.823206103598928;-1638.300000000072;-0.6145933534772713
28.553948204459896;-15.767625218914676;-2106.4000000000306;-0.6509106852034002
32.049517015293894;-9.202163226767532;-2808.600000000024;-0.5269794166315561
34.477214746588075;-5.167337029608894;-1462.8000000000611;-0.2415236999143671
34.293667066090656;-5.99263862533037;351.09999999995125;0.1254095866076279
