K%_8;Abertura|T-7|_TSI_13:25;R%_21;R%_14
-3.9999999999999143;11.061237845143308;4.999999999999716;4.999999999999716
0.0;12.902355523344765;3.0000000000001137;3.9999999999999143
3.0000000000001137;12.678086103437948;-1.0000000000005116;1.999999999999602
0.999999999999801;13.16533284192134;1.0000000000005116;2.0000000000003126
-1.0000000000005116;13.56138726010246;1.0000000000005116;1.0000000000005116
2.0000000000003126;12.986358237398973;3.0000000000001137;0.999999999999801
0.999999999999801;13.216695178468632;2.0000000000003126;0.0
-0.999999999999801;14.815867687933698;4.999999999999716;0.0
-1.999999999999602;16.115820792596963;4.999999999999716;-3.0000000000001137
0.999999999999801;16.202720523456932;3.9999999999999143;0.0
4.999999999999716;12.388091904172818;-0.999999999999801;-3.9999999999999143
3.9999999999999143;10.138247439502647;-0.999999999999801;-3.0000000000001137
-0.999999999999801;8.352255989075777;0.0;-3.0000000000001137
0.999999999999801;5.999608872685159;-3.0000000000001137;-3.9999999999999143
0.0;4.90655829239159;-3.9999999999999143;-3.9999999999999143
-1.999999999999602;4.844726029951982;-6.000000000000227;-3.0000000000001137
-0.999999999999801;6.4392301154082485;0.0;-0.999999999999801
-5.000000000000426;10.078342701162503;3.0000000000001137;2.0000000000003126
0.0;11.965607604101727;1.999999999999602;3.9999999999999143
-1.0000000000005116;14.18257190736512;3.0000000000001137;6.000000000000227
0.0;14.96794053554759;1.999999999999602;4.999999999999716
2.0000000000003126;14.620457330221978;0.0;3.9999999999999143
5.000000000000426;11.483249218374429;-3.0000000000001137;-1.0000000000005116
3.0000000000001137;9.029010196542366;-3.0000000000001137;-2.0000000000003126
1.0000000000005116;7.061484741318852;-3.0000000000001137;-7.000000000000028
0.0;5.45297029938106;0.0;-3.9999999999999143
-1.0000000000005116;4.959202663304723;2.0000000000003126;-4.999999999999716
-4.999999999999716;7.065858276986599;4.999999999999716;-1.0000000000005116
0.0;6.852760947115759;3.0000000000001137;-3.0000000000001137
1.999999999999602;5.75600038941097;0.0;-1.999999999999602
2.0000000000003126;3.970664822934411;-2.0000000000003126;-2.0000000000003126
3.0000000000001137;0.7695332332188112;-8.99999999999963;-1.999999999999602
3.0000000000001137;-1.761971803358711;-5.999999999999517;-1.999999999999602
-2.0000000000003126;-1.1284746607417522;-4.999999999999716;0.0
