K%_8;Abertura|T-7|_ROC_12;K%_10;R%_5
-13.000000000000256;0.4376367614879556;-32.00000000000003;-10.999999999999943
-10.000000000000142;-0.3259688518652657;-26.99999999999996;-19.000000000000128
-7.999999999999829;-1.009372746935824;-21.000000000000085;-10.000000000000142
-8.999999999999986;-1.046176046176043;-19.000000000000128;-26.99999999999996
-10.000000000000142;-1.3698630136986265;-17.99999999999997;-28.000000000000117
-21.000000000000085;-2.0510975170924803;-30.00000000000007;29.00000000000027
3.9999999999999143;-1.6152189519023663;-5.000000000000071;-10.999999999999943
27.000000000000316;-1.078748651564175;8.000000000000185;-2.0000000000003126
-7.999999999999829;-1.1844938980617312;16.000000000000014;3.9999999999999143
17.99999999999997;-0.3599712023038208;44.00000000000013;-12.9999999999999
17.00000000000017;-0.9302325581395278;8.000000000000185;-25.0
-12.9999999999999;-0.2173125679101728;5.000000000000071;-6.000000000000227
-14.000000000000057;0.0363108206245517;3.0000000000001137;-12.9999999999999
4.00000000000027;0.2906976744186114;-7.999999999999829;-2.0000000000003126
42.00000000000017;1.8936635105608144;28.999999999999915;-35.00000000000014
7.000000000000028;0.8749544294568065;11.000000000000298;9.999999999999789
9.999999999999789;1.7178362573099373;26.99999999999996;-7.999999999999829
15.99999999999966;2.240999265246141;22.999999999999687;-6.999999999999673
2.0000000000003126;1.605253557095955;12.0000000000001;-13.000000000000256
5.999999999999872;1.4176663031624754;22.999999999999687;-39.99999999999986
-12.0000000000001;0.7264802034144544;-9.999999999999789;-67.00000000000017
47.00000000000024;2.492774566473993;53.000000000000114;-142.99999999999997
-66.00000000000001;-2.2751895991332702;-79.00000000000027;-23.000000000000043
-127.99999999999976;-1.8148820326678767;-84.99999999999979;-17.99999999999997
-6.000000000000227;-2.03266787658803;-73.00000000000004;-21.999999999999886
-11.999999999999744;-2.391304347826088;-138.9999999999997;-16.000000000000014
-18.999999999999773;-4.217298070050035;-25.0;5.000000000000071
-8.999999999999986;-2.9634983736899176;-20.99999999999973;-7.000000000000028
16.999999999999815;-3.090190441969096;-1.9999999999999571;8.999999999999986
53.99999999999992;-1.5810276679841817;44.99999999999993;14.000000000000057
23.000000000000043;-2.298025134649912;41.000000000000014;32.99999999999983
23.000000000000043;-1.0035842293906725;76.99999999999996;-24.0000000000002
0.0;-0.5769924269743965;58.99999999999999;-12.9999999999999
-12.0000000000001;-3.101868170602758;9.999999999999789;15.000000000000211
8.000000000000185;2.1433850702143453;7.000000000000028;23.999999999999844
48.99999999999984;3.475046210720879;37.9999999999999;-62.9999999999999
37.0000000000001;3.779177473138212;45.00000000000029;-144.0000000000001
-48.99999999999984;2.0786933927245683;0.0;-82.99999999999983
-142.99999999999997;-0.8582089552238822;-107.00000000000004;5.999999999999872
-83.99999999999999;-0.6703910614525129;-131.99999999999966;-61.0000000000003
