high|T-3|,low|T-3|,close|T-3|,high|T-2|,low|T-2|,close|T-2|,high|T-1|,low|T-1|,close|T-1|,high,low,close
98599.4825,88837.1575,97623.25,100398.4339,90457.9949,99404.39,101306.03,91275.73,100303.0,101306.03,91275.73,100303.0
100398.4339,90457.9949,99404.39,101306.03,91275.73,100303.0,101306.03,91275.73,100303.0,103032.7664,92831.5024,102012.64
101306.03,91275.73,100303.0,101306.03,91275.73,100303.0,103032.7664,92831.5024,102012.64,103082.95330000001,92876.7203,102062.33
101306.03,91275.73,100303.0,103032.7664,92831.5024,102012.64,103082.95330000001,92876.7203,102062.33,101093.4048,91084.1568,100092.48
103032.7664,92831.5024,102012.64,103082.95330000001,92876.7203,102062.33,101093.4048,91084.1568,100092.48,101695.5163,91626.6533,100688.63
103082.95330000001,92876.7203,102062.33,101093.4048,91084.1568,100092.48,101695.5163,91626.6533,100688.63,101731.2097,91658.81270000001,100723.97
101093.4048,91084.1568,100092.48,101695.5163,91626.6533,100688.63,101731.2097,91658.81270000001,100723.97,101976.872,91880.152,100967.2
101695.5163,91626.6533,100688.63,101731.2097,91658.81270000001,100723.97,101976.872,91880.152,100967.2,102353.0768,92219.1088,101339.68
101731.2097,91658.81270000001,100723.97,101976.872,91880.152,100967.2,102353.0768,92219.1088,101339.68,101611.2217,91550.7047,100605.17
101976.872,91880.152,100967.2,102353.0768,92219.1088,101339.68,101611.2217,91550.7047,100605.17,103063.5411,92859.2301,102043.11
102353.0768,92219.1088,101339.68,101611.2217,91550.7047,100605.17,103063.5411,92859.2301,102043.11,104672.53169999999,94308.91470000001,103636.17
101611.2217,91550.7047,100605.17,103063.5411,92859.2301,102043.11,104672.53169999999,94308.91470000001,103636.17,105130.3647,94721.4177,104089.47
103063.5411,92859.2301,102043.11,104672.53169999999,94308.91470000001,103636.17,105130.3647,94721.4177,104089.47,105575.5222,95122.50020000001,104530.22
104672.53169999999,94308.91470000001,103636.17,105130.3647,94721.4177,104089.47,105575.5222,95122.50020000001,104530.22,105575.5222,95122.50020000001,104530.22
105130.3647,94721.4177,104089.47,105575.5222,95122.50020000001,104530.22,105575.5222,95122.50020000001,104530.22,106875.2306,96293.5246,105817.06
105575.5222,95122.50020000001,104530.22,105575.5222,95122.50020000001,104530.22,106875.2306,96293.5246,105817.06,106186.1379,95672.6589,105134.79
105575.5222,95122.50020000001,104530.22,106875.2306,96293.5246,105817.06,106186.1379,95672.6589,105134.79,104942.0906,94551.7846,103903.06
106875.2306,96293.5246,105817.06,106186.1379,95672.6589,105134.79,104942.0906,94551.7846,103903.06,104840.7169,94460.4479,103802.69
106186.1379,95672.6589,105134.79,104942.0906,94551.7846,103903.06,104840.7169,94460.4479,103802.69,104812.75,94435.25,103775.0
104942.0906,94551.7846,103903.06,104840.7169,94460.4479,103802.69,104812.75,94435.25,103775.0,104894.0853,94508.5323,103855.53
104840.7169,94460.4479,103802.69,104812.75,94435.25,103775.0,104894.0853,94508.5323,103855.53,105763.7559,95292.0969,104716.59
104812.75,94435.25,103775.0,104894.0853,94508.5323,103855.53,105763.7559,95292.0969,104716.59,104486.4493,94141.2563,103451.93
104894.0853,94508.5323,103855.53,105763.7559,95292.0969,104716.59,104486.4493,94141.2563,103451.93,104988.3284,94593.4444,103948.84
105763.7559,95292.0969,104716.59,104486.4493,94141.2563,103451.93,104988.3284,94593.4444,103948.84,104741.3228,94370.89480000001,103704.28
104486.4493,94141.2563,103451.93,104988.3284,94593.4444,103948.84,104741.3228,94370.89480000001,103704.28,105160.73539999999,94748.78139999999,104119.54
104988.3284,94593.4444,103948.84,104741.3228,94370.89480000001,103704.28,105160.73539999999,94748.78139999999,104119.54,103681.12580000001,93415.66780000001,102654.58
104741.3228,94370.89480000001,103704.28,105160.73539999999,94748.78139999999,104119.54,103681.12580000001,93415.66780000001,102654.58,103847.11929999999,93565.2263,102818.93
105160.73539999999,94748.78139999999,104119.54,103681.12580000001,93415.66780000001,102654.58,103847.11929999999,93565.2263,102818.93,104517.4563,94169.19330000001,103482.63
103681.12580000001,93415.66780000001,102654.58,103847.11929999999,93565.2263,102818.93,104517.4563,94169.19330000001,103482.63,103962.0876,93668.8116,102932.76
103847.11929999999,93565.2263,102818.93,104517.4563,94169.19330000001,103482.63,103962.0876,93668.8116,102932.76,102830.2513,92649.0383,101812.13
104517.4563,94169.19330000001,103482.63,103962.0876,93668.8116,102932.76,102830.2513,92649.0383,101812.13,103147.1994,92934.6054,102125.94
103962.0876,93668.8116,102932.76,102830.2513,92649.0383,101812.13,103147.1994,92934.6054,102125.94,103700.41679999999,93433.04879999999,102673.68
102830.2513,92649.0383,101812.13,103147.1994,92934.6054,102125.94,103700.41679999999,93433.04879999999,102673.68,101098.72750000001,91088.9525,100097.75
103147.1994,92934.6054,102125.94,103700.41679999999,93433.04879999999,102673.68,101098.72750000001,91088.9525,100097.75,103184.63,92968.33,102163.0
103700.41679999999,93433.04879999999,102673.68,101098.72750000001,91088.9525,100097.75,103184.63,92968.33,102163.0,103810.1937,93531.9567,102782.37
101098.72750000001,91088.9525,100097.75,103184.63,92968.33,102163.0,103810.1937,93531.9567,102782.37,105148.2013,94737.48830000001,104107.13
103184.63,92968.33,102163.0,103810.1937,93531.9567,102782.37,105148.2013,94737.48830000001,104107.13,104949.4232,94558.39120000001,103910.32
103810.1937,93531.9567,102782.37,105148.2013,94737.48830000001,104107.13,104949.4232,94558.39120000001,103910.32,102934.3722,92742.8502,101915.22
105148.2013,94737.48830000001,104107.13,104949.4232,94558.39120000001,103910.32,102934.3722,92742.8502,101915.22,104496.4584,94150.2744,103461.84
104949.4232,94558.39120000001,103910.32,102934.3722,92742.8502,101915.22,104496.4584,94150.2744,103461.84,101260.5901,91234.7891,100258.01
102934.3722,92742.8502,101915.22,104496.4584,94150.2744,103461.84,101260.5901,91234.7891,100258.01,100047.47910000001,90141.7881,99056.91
104496.4584,94150.2744,103461.84,101260.5901,91234.7891,100258.01,100047.47910000001,90141.7881,99056.91,100803.8378,90823.2598,99805.78
101260.5901,91234.7891,100258.01,100047.47910000001,90141.7881,99056.91,100803.8378,90823.2598,99805.78,100463.3567,90516.4897,99468.67
100047.47910000001,90141.7881,99056.91,100803.8378,90823.2598,99805.78,100463.3567,90516.4897,99468.67,100214.4725,90292.2475,99222.25
100803.8378,90823.2598,99805.78,100463.3567,90516.4897,99468.67,100214.4725,90292.2475,99222.25,102213.919,92093.72899999999,101201.9
100463.3567,90516.4897,99468.67,100214.4725,90292.2475,99222.25,102213.919,92093.72899999999,101201.9,101011.3928,91010.2648,100011.28
100214.4725,90292.2475,99222.25,102213.919,92093.72899999999,101201.9,101011.3928,91010.2648,100011.28,98644.1649,88877.4159,97667.49
102213.919,92093.72899999999,101201.9,101011.3928,91010.2648,100011.28,98644.1649,88877.4159,97667.49,97393.89600000001,87750.936,96429.6
101011.3928,91010.2648,100011.28,98644.1649,88877.4159,97667.49,97393.89600000001,87750.936,96429.6,98248.9519,88521.33290000001,97276.19
98644.1649,88877.4159,97667.49,97393.89600000001,87750.936,96429.6,98248.9519,88521.33290000001,97276.19,99175.4653,89356.11230000001,98193.53
97393.89600000001,87750.936,96429.6,98248.9519,88521.33290000001,97276.19,99175.4653,89356.11230000001,98193.53,101529.6743,91477.2313,100524.43
98248.9519,88521.33290000001,97276.19,99175.4653,89356.11230000001,98193.53,101529.6743,91477.2313,100524.43,102145.9561,92032.4951,101134.61
99175.4653,89356.11230000001,98193.53,101529.6743,91477.2313,100524.43,102145.9561,92032.4951,101134.61,101631.99740000001,91569.42340000001,100625.74
101529.6743,91477.2313,100524.43,102145.9561,92032.4951,101134.61,101631.99740000001,91569.42340000001,100625.74,100677.6383,90709.5553,99680.83
102145.9561,92032.4951,101134.61,101631.99740000001,91569.42340000001,100625.74,100677.6383,90709.5553,99680.83,101951.3998,91857.2018,100941.98
101631.99740000001,91569.42340000001,100625.74,100677.6383,90709.5553,99680.83,101951.3998,91857.2018,100941.98,103274.62100000001,93049.41100000001,102252.1
100677.6383,90709.5553,99680.83,101951.3998,91857.2018,100941.98,103274.62100000001,93049.41100000001,102252.1,103964.7843,93671.2413,102935.43
101951.3998,91857.2018,100941.98,103274.62100000001,93049.41100000001,102252.1,103964.7843,93671.2413,102935.43,104212.3959,93894.3369,103180.59
103274.62100000001,93049.41100000001,102252.1,103964.7843,93671.2413,102935.43,104212.3959,93894.3369,103180.59,104061.815,93758.66500000001,103031.5
103964.7843,93671.2413,102935.43,104212.3959,93894.3369,103180.59,104061.815,93758.66500000001,103031.5,104480.05600000001,94135.49600000001,103445.6
104212.3959,93894.3369,103180.59,104061.815,93758.66500000001,103031.5,104480.05600000001,94135.49600000001,103445.6,105374.8958,94941.7378,104331.58
104061.815,93758.66500000001,103031.5,104480.05600000001,94135.49600000001,103445.6,105374.8958,94941.7378,104331.58,104536.1918,94186.0738,103501.18
104480.05600000001,94135.49600000001,103445.6,105374.8958,94941.7378,104331.58,104536.1918,94186.0738,103501.18,104291.1557,93965.29870000001,103258.57
105374.8958,94941.7378,104331.58,104536.1918,94186.0738,103501.18,104291.1557,93965.29870000001,103258.57,105663.0286,95201.3426,104616.86
104536.1918,94186.0738,103501.18,104291.1557,93965.29870000001,103258.57,105663.0286,95201.3426,104616.86,105577.2493,95124.0563,104531.93
104291.1557,93965.29870000001,103258.57,105663.0286,95201.3426,104616.86,105577.2493,95124.0563,104531.93,105382.5516,94948.63560000001,104339.16
105663.0286,95201.3426,104616.86,105577.2493,95124.0563,104531.93,105382.5516,94948.63560000001,104339.16,105865.574,95383.834,104817.4
105577.2493,95124.0563,104531.93,105382.5516,94948.63560000001,104339.16,105865.574,95383.834,104817.4,105684.19820000001,95220.4162,104637.82
105382.5516,94948.63560000001,104339.16,105865.574,95383.834,104817.4,105684.19820000001,95220.4162,104637.82,104914.41660000001,94526.8506,103875.66
105865.574,95383.834,104817.4,105684.19820000001,95220.4162,104637.82,104914.41660000001,94526.8506,103875.66,105525.7898,95077.6918,104480.98
105684.19820000001,95220.4162,104637.82,104914.41660000001,94526.8506,103875.66,105525.7898,95077.6918,104480.98,106372.594,95840.654,105319.4
104914.41660000001,94526.8506,103875.66,105525.7898,95077.6918,104480.98,106372.594,95840.654,105319.4,106128.4063,95620.64330000001,105077.63
105525.7898,95077.6918,104480.98,106372.594,95840.654,105319.4,106128.4063,95620.64330000001,105077.63,105792.77320000001,95318.2412,104745.32
106372.594,95840.654,105319.4,106128.4063,95620.64330000001,105077.63,105792.77320000001,95318.2412,104745.32,105093.934,94688.594,104053.4
106128.4063,95620.64330000001,105077.63,105792.77320000001,95318.2412,104745.32,105093.934,94688.594,104053.4,102039.89600000001,91936.936,101029.6
105792.77320000001,95318.2412,104745.32,105093.934,94688.594,104053.4,102039.89600000001,91936.936,101029.6,102531.2004,92379.5964,101516.04
105093.934,94688.594,104053.4,102039.89600000001,91936.936,101029.6,102531.2004,92379.5964,101516.04,103576.83320000001,93321.70120000001,102551.32
102039.89600000001,91936.936,101029.6,102531.2004,92379.5964,101516.04,103576.83320000001,93321.70120000001,102551.32,101578.4977,91521.2207,100572.77
102531.2004,92379.5964,101516.04,103576.83320000001,93321.70120000001,102551.32,101578.4977,91521.2207,100572.77,100981.21399999999,90983.074,99981.4
