low,close
87574.76000000001,96236.0
87530.85250000001,96187.75
87681.5303,96353.33
86930.1342,95527.62
87367.1799,96007.89
86457.8806,95008.66
85561.9856,94024.16
86992.9151,95596.61
86275.1435,94807.85
85774.3796,94257.56
83471.1514,91726.54
83804.1204,92092.44
83377.3304,91623.44
81922.2677,90024.47
81893.3843,89992.73
83671.0329,91946.19
85981.0133,94484.63
85868.20060000001,94360.66
85458.12730000001,93910.03
85201.29800000001,93627.8
86326.4675,94864.25
87717.41159999999,96392.76
87875.5605,96566.55
88686.1976,97457.36
88297.59120000001,97030.32
88288.6368,97020.48
88616.0548,97380.28
87358.8625,95998.75
88456.41350000001,97204.85
89017.3466,97821.26
88938.3495,97734.45
90053.6,98960.0
89472.00080000001,98320.88
89884.067,98773.7
89216.4546,98040.06
88837.1575,97623.25
90457.9949,99404.39
91275.73,100303.0
91275.73,100303.0
92831.5024,102012.64
92876.7203,102062.33
91084.1568,100092.48
91626.6533,100688.63
91658.8127,100723.97
91880.152,100967.2
92219.1088,101339.68
91550.7047,100605.17
92859.2301,102043.11
94308.9147,103636.17
94721.4177,104089.47
95122.5002,104530.22
95122.5002,104530.22
96293.5246,105817.06
95672.6589,105134.79
94551.7846,103903.06
94460.4479,103802.69
94435.25,103775.0
94508.5323,103855.53
95292.0969,104716.59
94141.2563,103451.93
94593.4444,103948.84
94370.8948,103704.28
94748.7814,104119.54
93415.6678,102654.58
93565.2263,102818.93
94169.1933,103482.63
93668.8116,102932.76
92649.0383,101812.13
92934.6054,102125.94
93433.0488,102673.68
91088.9525,100097.75
92968.33,102163.0
93531.9567,102782.37
94737.4883,104107.13
94558.3912,103910.32
92742.8502,101915.22
94150.2744,103461.84
91234.7891,100258.01
90141.7881,99056.91
90823.2598,99805.78
90516.4897,99468.67
90292.2475,99222.25
92093.729,101201.9
91010.2648,100011.28
88877.4159,97667.49
87750.936,96429.6
88521.33290000001,97276.19
89356.11230000001,98193.53
91477.2313,100524.43
92032.4951,101134.61
91569.4234,100625.74
90709.5553,99680.83
91857.2018,100941.98
93049.411,102252.1
93671.2413,102935.43
93894.3369,103180.59
93758.665,103031.5
94135.496,103445.6
94941.7378,104331.58
94186.0738,103501.18
93965.2987,103258.57
95201.3426,104616.86
95124.0563,104531.93
94948.6356,104339.16
95383.834,104817.4
95220.4162,104637.82
94526.8506,103875.66
95077.6918,104480.98
95840.654,105319.4
95620.6433,105077.63
95318.2412,104745.32
94688.594,104053.4
91936.936,101029.6
92379.5964,101516.04
93321.7012,102551.32
91521.2207,100572.77
90983.074,99981.4
92135.68,101248.0
92653.5883,101817.13
94489.0856,103834.16
94914.4378,104301.58
95086.4096,104490.56
95934.748,105422.8
95564.3507,105015.77
95303.2899,104728.89
96480.2748,106022.28
97716.8101,107381.11
97864.6669,107543.59
97357.3965,106986.15
97701.0307,107363.77
98450.2246,108187.06
97876.1966,107556.26
98650.8614,108407.54
97570.0453,107219.83
98458.0233,108195.63
98872.5101,108651.11
98934.3082,108719.02
98600.9388,108352.68
99718.3187,109580.57
97942.3718,107628.98
98614.3704,108367.44
97143.5101,106751.11
96514.5545,106059.95
96966.7608,106556.88
96705.0175,106269.25
96336.4038,105864.18
97822.0243,107496.73
98909.9748,108692.28
98665.7763,108423.93
97424.054,107059.4
98014.0525,107707.75
98543.9819,108290.09
98492.2848,108233.28
99124.3253,108927.83
99149.9782,108956.02
100373.8463,110300.93
100666.2657,110622.27
101124.4325,111125.75
100989.2793,110977.23
100711.5291,110672.01
100977.4857,110964.27
102050.5668,112143.48
102434.0226,112564.86
101825.3964,111896.04
102480.2506,112615.66
104026.3315,114314.65
104769.4375,115131.25
104760.1828,115121.08
104713.6636,115069.96
106654.912,117203.2
106045.9218,116533.98
105237.2594,115645.34
107901.521,118573.1
107180.3278,117780.58
106098.447,116591.7
106162.3654,116661.94
105710.1227,116164.97
105510.86,115946.0
105108.1122,115503.42
106766.0048,117325.28
107045.484,117632.4
105937.0585,116414.35
106200.8311,116704.21
107815.253,118478.3
108164.0833,118861.63
106493.6964,117026.04
107736.1376,118391.36
108770.1433,119527.63
107722.4876,118376.36
104178.4744,114481.84
105995.8718,116478.98
105000.2044,115384.84
104327.6507,114645.77
103522.1187,113760.57
104312.5811,114629.21
105156.6061,115556.71
105585.7257,116028.27
104822.8727,115189.97
103530.9639,113770.29
102438.973,112570.3
104987.2551,115370.61
106173.4583,116674.13
105252.784,115662.4
104086.44610000002,114380.71
104931.2628,115309.08
104629.3339,114977.29
106031.0069,116517.59
104273.4784,114586.24
103450.0922,113681.42
96203.6439,105718.29
93715.0214,102983.54
94796.12870000002,104171.57
97029.1231,106625.41
96038.7974,105537.14
97574.0402,107224.22
93032.2484,102233.24
89177.0607,97996.77
78305.7002,86050.22
83914.74,92214.0
77505.7283,85171.13
66686.0285,73281.35
75236.8981,82677.91
64762.880000000005,71168.0
67901.68840000001,74617.24
60874.4045,66894.95
62181.938,68331.8
61033.117600000005,67069.36
57848.3542,63569.62
63453.66300000001,69729.3
68209.5687,74955.57
70715.79060000001,77709.66
66820.18980000001,73428.78
67921.9268,74639.48
66447.9816,73019.76
64579.697,70966.7
65750.64860000001,72253.46
63279.1796,69537.56
67027.6516,73656.76
69485.8619,76358.09
71801.79370000001,78903.07
70690.5654,77681.94
71740.59620000001,78835.82
72725.70760000001,79918.36
71736.62860000001,78831.46
70808.7835,77811.85
71881.1639,78990.29
71865.2116,78972.76
73425.30649999999,80687.15
72502.70300000001,79673.3
68439.189,75207.9
71197.126,78238.6
73994.1293,81312.23
75685.428,83170.8
73260.3599,80505.89
71777.36020000001,78876.22
72318.40980000001,79470.78
71947.9488,79063.68
71087.8987,78118.57
73039.64850000001,80263.35
71948.78600000001,79064.6
70863.4745,77871.95
70772.702,77772.2
71899.8371,79010.81
70576.5242,77556.62
73886.8039,81194.29
73475.53850000001,80742.35
74000.6995,81319.45
75554.6519,83027.09
74777.6211,82173.21
77953.7668,85663.48
77776.7081,85468.91
80031.08750000001,87946.25
79123.6719,86949.09
79543.12730000001,87410.03
80644.29100000001,88620.1
82852.20580000001,91046.38
84631.9474,93002.14
85384.03510000001,93828.61
86119.7246,94637.06
88856.6497,97644.67
88039.36050000001,96746.55
86164.2418,94685.98
84443.69570000001,92795.27
84061.72320000001,92375.52
85113.3647,93531.17
86948.0339,95547.29
87473.96840000001,96125.24
87880.611,96572.1
86755.72360000001,95335.96
87337.25,95975.0
85883.3976,94377.36
87344.6119,95983.09
85389.38590000001,93834.49
87119.16850000001,95735.35
86500.79620000001,95055.82
87544.912,96203.2
87573.81360000001,96234.96
88056.01350000002,96764.85
90032.8156,98937.16
88962.54639999999,97761.04
90790.5908,99769.88
90235.9003,99160.33
91028.9653,100031.83
89814.3246,98697.06
91400.6093,100440.23
92629.3914,101790.54
91503.4757,100553.27
93628.3075,102888.25
95027.9967,104426.37
94921.8634,104309.74
94903.5087,104289.57
93086.9121,102293.31
93167.2378,102381.58
95074.1428,104477.08
94739.25370000002,104109.07
96100.7047,105605.17
95557.917,105008.7
93650.1384,102912.24
93575.2636,102829.96
92106.4417,101215.87
93549.6016,102801.76
94754.3324,104125.64
93525.7505,102775.55
94134.4768,103444.48
92978.704,102174.4
92927.1889,102117.79
91419.146,100460.6
92231.6395,101353.45
90631.8231,99595.41
92879.4685,102065.35
91776.8852,100853.72
92335.7617,101467.87
92384.3739,101521.29
93091.1345,102297.95
92927.0524,102117.64
91570.8703,100627.33
91567.5124,100623.64
92950.0663,102142.93
90425.9265,99369.15
92972.5615,102167.65
92739.1283,101911.13
91656.4376,100721.36
92129.9743,101241.73
91045.8913,100050.43
92175.7655,101292.05
89939.4769,98834.59
89510.53020000001,98363.22
91249.8132,100274.52
91271.0981,100297.91
90704.8688,99675.68
91089.0253,100097.83
89443.6361,98289.71
88261.5552,96990.72
88537.1214,97293.54
87118.68620000001,95734.82
88280.98370000001,97012.07
88269.4358,96999.38
86146.3967,94666.37
85158.11850000001,93580.35
86089.0758,94603.38
86885.4532,95478.52
85554.26879999999,94015.68
87441.16290000001,96089.19
87009.6773,95615.03
86928.8966,95526.26
89106.9543,97919.73
88709.8121,97483.31
89637.56620000002,98502.82
90394.3313,99334.43
90139.1946,99054.06
89461.2992,98309.12
89778.4615,98657.65
91491.2453,100539.83
91502.7204,100552.44
92745.1343,101917.73
92146.3725,101259.75
91925.4336,101016.96
90641.0414,99605.54
86785.5716,95368.76
87889.76560000001,96582.16
85496.684,93952.4
87341.53610000001,95979.71
89058.7971,97866.81
91683.774,100751.4
91841.8501,100925.11
94198.7956,103515.16
95610.9336,105066.96
95376.0353,104808.83
93281.3791,102507.01
95297.93,104723.0
96851.2272,106429.92
97596.2533,107248.63
96568.3719,106119.09
97069.609,106669.9
96498.6568,106042.48
97714.8172,107378.92
99905.533,109786.3
100220.6023,110132.53
100306.6519,110227.09
100623.6777,110575.47
99092.9212,108893.32
101373.9181,111399.91
101809.4623,111878.53
102185.3469,112291.59
103512.7002,113750.22
103366.6907,113589.77
103551.6846,113793.06
102831.0556,113001.16
104767.0533,115128.63
104766.48,115128.0
104296.1192,114611.12
105695.2533,116148.63
107250.1885,117857.35
107744.51870000002,118400.57
107401.5397,118023.67
105398.5387,115822.57
106138.9238,116636.18
107204.2335,117806.85
108402.567,119123.7
108662.3265,119409.15
108305.6884,119017.24
108157.7861,118854.71
108632.3511,119376.21
108381.0728,119100.08
111371.1872,122385.92
113819.7333,125076.63
112162.1683,123255.13
112838.18,123998.0
110959.1028,121933.08
112367.2732,123480.52
109517.408,120348.8
110329.8833,121241.63
109779.1149,120636.39
108878.224,119646.4
107679.3809,118328.99
106816.2459,117380.49
105982.2946,116464.06
105452.893,115882.3
108183.7575,118883.25
104711.4705,115067.55
106940.98870000002,117517.57
107592.7671,118233.81
108949.4952,119724.72
108527.3462,119260.82
109418.6366,120240.26
108923.6876,119696.36
108719.1742,119471.62
107776.1503,118435.33
108562.8453,119299.83
108680.1352,119428.72
109523.7689,120355.79
108471.0627,119198.97
107771.7823,118430.53
102527.607,112667.7
104856.9886,115227.46
105257.6798,115667.78
102246.0894,112358.34
100132.0047,110035.17
100404.6953,110334.83
101501.218,111539.8
101177.3945,111183.95
