autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
0.0;1.0;0.0;0.017576530612244953;0.0006548469387755117;0.025589977310961253
0.0;0.0;1.0;0.07855458268416196;0.0101972842611818;0.10098160357798741
0.0;0.0;2.0;0.05330019029528321;0.004744981955453874;0.06888382941920312
0.0;1.0;0.0;0.017576530612244953;0.0006548469387755117;0.025589977310961253
0.0;1.0;1.0;0.01772240319469984;0.0006512683868823334;0.02551996055800897
0.0;1.0;2.0;0.017711584588973074;0.0006525338140345694;0.025544741416474927
1.0;0.0;0.0;0.017895891289739875;0.0006608173169939875;0.02570636724615105
1.0;0.0;1.0;0.017865269169784648;0.000656434227733035;0.025620972419739166
1.0;0.0;2.0;0.017856680184547866;0.0006589185737093001;0.025669409298020477
1.0;1.0;0.0;0.01772075441000832;0.0006509098774170699;0.02551293549196309
1.0;1.0;1.0;0.01777817266895219;0.0006525877021260663;0.025545796173266282
1.0;1.0;2.0;0.0177977819234069;0.0006549751866445236;0.02559248301053502
2.0;0.0;0.0;0.017859340857540013;0.0006563584993754276;0.025619494518343403
2.0;0.0;1.0;0.018001787903863094;0.0006648351265084425;0.02578439695840185
2.0;0.0;2.0;0.017890149995738423;0.0006615340281886813;0.025720303812138013
2.0;1.0;0.0;0.01773279042615608;0.0006526953983093368;0.025547903990529964
2.0;1.0;1.0;0.017743599558170918;0.0006532151693004256;0.025558074444300877
2.0;1.0;2.0;0.01786024947631435;0.0006546137228324144;0.02558542012225741
