autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
0.0;1.0;0.0;0.026168421052631587;0.0013913684210526331;0.0373010512057319
0.0;0.0;1.0;0.08398101114553426;0.010529198895092825;0.10261188476532737
0.0;0.0;2.0;0.061184020943628084;0.005736877211417901;0.0757421759089208
0.0;1.0;0.0;0.026168421052631587;0.0013913684210526331;0.0373010512057319
0.0;1.0;1.0;0.026283729089293245;0.0013976290274427833;0.03738487698846665
0.0;1.0;2.0;0.026301581150703184;0.0014013923505201162;0.03743517531039645
1.0;0.0;0.0;0.02639779685814977;0.0013828610874778797;0.03718684024595098
1.0;0.0;1.0;0.026489289710087148;0.0013893919740717783;0.03727454860989973
1.0;0.0;2.0;0.026544652276157155;0.0013946409852428616;0.03734489235816408
1.0;1.0;0.0;0.026283701860273366;0.001397718927157851;0.0373860793231632
1.0;1.0;1.0;0.02628481182096876;0.0013981872822749462;0.03739234256201323
1.0;1.0;2.0;0.026291515516528245;0.0013995789231966334;0.03741094656910773
2.0;0.0;0.0;0.026505758402300062;0.0013901878840756967;0.037285223401177264
2.0;0.0;1.0;0.02656681869484864;0.0013949973666111377;0.03734966354080232
2.0;0.0;2.0;0.026572262708294138;0.001396652734622576;0.037371817384528896
2.0;1.0;0.0;0.02630124384885167;0.0014012206728912248;0.03743288224130256
2.0;1.0;1.0;0.02631357205310561;0.0014029172348943872;0.037455536772210155
2.0;1.0;2.0;0.026312648700029632;0.001402937405637109;0.0374558060337394
