autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
0.0;1.0;0.0;13.750726256983262;361.2073265921796;19.00545517982086
0.0;0.0;1.0;116.76112223996536;14884.610921974814;122.00250375289359
0.0;1.0;0.0;13.750726256983262;361.2073265921796;19.00545517982086
0.0;1.0;1.0;13.764715339954;362.1972354577422;19.031480117367177
1.0;0.0;0.0;13.872792646159144;368.66879952311575;19.20074997293376
1.0;0.0;1.0;13.924860432463063;371.4635483085517;19.273389642420238
1.0;1.0;0.0;13.764645613239141;362.34461597123965;19.035351742776903
1.0;1.0;1.0;13.818383979432207;364.8812374540165;19.10186476378724
