autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
0.0;1.0;0.0;0.01566326530612245;0.0005617346938775535;0.023700942890052992
0.0;0.0;1.0;0.10414294126379886;0.016556718506351632;0.12867291286961538
0.0;0.0;2.0;0.07022966148999314;0.007869363037333826;0.0887094303743059
0.0;1.0;0.0;0.01566326530612245;0.0005617346938775535;0.023700942890052992
0.0;1.0;1.0;0.015951055660168627;0.0005404045433082836;0.02324660283371064
0.0;1.0;2.0;0.016055799033168238;0.0005426883404540604;0.02329567213999331
1.0;0.0;0.0;0.015747867879369663;0.0005600076880326469;0.0236644815711785
1.0;0.0;1.0;0.01594226217218302;0.0005391528367763185;0.023219664872179323
1.0;0.0;2.0;0.01600960229887002;0.0005404200546612426;0.023246936457547315
1.0;1.0;0.0;0.01594364099003484;0.000538387326358666;0.023203174919796343
1.0;1.0;1.0;0.015953898940065468;0.0005409563760967332;0.02325846891127473
1.0;1.0;2.0;0.01601683029205387;0.0005429379840745014;0.023301029678417677
2.0;0.0;0.0;0.015953800059852995;0.0005373669339164703;0.02318117628414206
2.0;0.0;1.0;0.015940161109114857;0.0005386449727988768;0.023208726220947086
2.0;0.0;2.0;0.015996746993064817;0.0005400254371888723;0.023238447391959564
2.0;1.0;0.0;0.015982355434167993;0.0005404912289944334;0.023248467239679122
2.0;1.0;1.0;0.016019403158086858;0.0005442290140996882;0.02332871651205201
2.0;1.0;2.0;0.016033707818695262;0.0005406549588585264;0.02325198827753288
