autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
1.0;0.0;2.0;0.029606383835057842;0.0016641641640128008;0.040794168259848135
0.0;0.0;1.0;0.12047019306918329;0.022905323722674724;0.15134504855684816
0.0;0.0;2.0;0.0850566528223493;0.011055565235611749;0.10514544800233508
0.0;1.0;0.0;0.029625850340136026;0.001707142857142858;0.04131758532565593
0.0;1.0;1.0;0.029782151829674853;0.0016938098483512236;0.04115592118214855
0.0;1.0;2.0;0.029780799175976102;0.0016666305631390015;0.04082438686788819
1.0;0.0;0.0;0.02968570512658479;0.001704385181384776;0.04128420014224299
1.0;0.0;1.0;0.029738890565951845;0.0016935896046917948;0.041153245372531615
1.0;0.0;2.0;0.029606383835057842;0.0016641641640128008;0.040794168259848135
1.0;1.0;0.0;0.029799555501955077;0.001690075681814299;0.04111053006000165
1.0;1.0;1.0;0.029736697137254298;0.0016722525319646307;0.040893184419468126
1.0;1.0;2.0;0.029754849167968615;0.001669310979388763;0.040857202295173894
2.0;0.0;0.0;0.029732270838575357;0.0016893707215508656;0.041101955203504195
2.0;0.0;1.0;0.029493216977434882;0.0016656719388517987;0.040812644350149606
2.0;0.0;2.0;0.029649110614240862;0.0016674735356448551;0.04083470993707259
2.0;1.0;0.0;0.029753009384613203;0.001661792253375609;0.04076508620591411
2.0;1.0;1.0;0.02979772801415522;0.001667393012727594;0.040833723963503425
2.0;1.0;2.0;0.029973558597851255;0.0016793035197531525;0.04097930599403988
