autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
0.0;1.0;0.0;0.031621160409556315;0.002231228668941978;0.047235883276826506
0.0;0.0;1.0;0.20625690490088477;0.061603544022525325;0.24820061245396902
0.0;0.0;2.0;0.13465418386004838;0.027591817274446248;0.16610784832284792
0.0;1.0;0.0;0.04240802675585285;0.0033197324414715695;0.057617119343746866
0.0;1.0;1.0;0.04296207582661282;0.0033569982821465916;0.057939608922969024
0.0;1.0;2.0;0.043027032927422285;0.0033504527716183103;0.05788309573285028
1.0;0.0;0.0;0.04244275659570502;0.003320480089542816;0.057623607050780984
1.0;0.0;1.0;0.04295709637168011;0.003362535010234762;0.0579873694026101
1.0;0.0;2.0;0.04303672278336428;0.0033627514701202927;0.05798923581252208
1.0;1.0;0.0;0.042928184288899544;0.003358807237361348;0.057955217516297425
1.0;1.0;1.0;0.04302116614655429;0.00335177604222676;0.05789452514898762
1.0;1.0;2.0;0.04322787273936083;0.003383627201377716;0.05816895393057809
2.0;0.0;0.0;0.04293325858901143;0.0033664110364491242;0.05802078107410417
2.0;0.0;1.0;0.043001633656544115;0.0033592023395035146;0.05795862610089644
2.0;1.0;0.0;0.043027018794799574;0.003351237560120746;0.057889874417904434
2.0;1.0;1.0;0.043308488285292226;0.0033892660719041542;0.05821740351393348
2.0;1.0;2.0;0.043449949319849905;0.003408197110876405;0.058379766279734326
0.0;0.0;0.0;0.9024786969928987;1.073813313544993;1.0362496386223703
0.0;0.0;1.0;0.4667977155898358;0.29407192427392126;0.5422839885834001
0.0;0.0;2.0;0.2684731845188228;0.10081358234701013;0.31751154679319954
0.0;1.0;0.0;0.031621160409556315;0.002231228668941978;0.047235883276826506
0.0;1.0;1.0;0.03191699951612169;0.0022493176707076177;0.047426971974896495
0.0;1.0;2.0;0.03199723241091763;0.0022459281974048268;0.04739122489875976
1.0;0.0;0.0;0.0320890908459556;0.002244424750709483;0.04737536016443023
1.0;0.0;1.0;0.032249829175771676;0.00226448710369035;0.047586627362005286
1.0;0.0;2.0;0.032264440183634675;0.0022608091878627916;0.04754796723165767
1.0;1.0;0.0;0.03194210557493269;0.0022509942148619213;0.047444643689903726
1.0;1.0;1.0;0.031968159809593305;0.0022502704082357277;0.04743701516996751
1.0;1.0;2.0;0.0320254279802345;0.002244977506031623;0.04738119359019592
2.0;0.0;0.0;0.032248497301256146;0.002265562895649421;0.047597929531119534
2.0;0.0;1.0;0.03191478888230784;0.0022347685193261253;0.04727333835605568
2.0;0.0;2.0;0.03223173962280339;0.0022552462066104274;0.04748943257831607
2.0;1.0;0.0;0.03195678875245637;0.0022445430622366805;0.04737660880895424
2.0;1.0;1.0;0.032013862370432584;0.0022415471138307864;0.0473449798165633
2.0;1.0;2.0;0.03207545114801294;0.002248458941125632;0.04741791793326265
