autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
0.0;1.0;0.0;0.2832290502793296;0.15439950837988825;0.3929370285171509
0.0;0.0;1.0;2.755771204843619;8.36121149220077;2.8915759530402743
0.0;1.0;0.0;0.2832290502793296;0.15439950837988825;0.3929370285171509
0.0;1.0;1.0;0.2839665054201076;0.154695439021766;0.3933134106813115
1.0;0.0;0.0;0.28278607205906375;0.1548522395047062;0.39351269293976554
1.0;0.0;1.0;0.28373497016869964;0.15510374188836545;0.3938321239924004
1.0;1.0;0.0;0.2838940378150222;0.15466170469021992;0.3932705235460953
1.0;1.0;1.0;0.28572841454075154;0.15396158175415028;0.392379384976008
