autoregressive(p);diferencial(d);media(q);MAE;MSE;RMSE
0.0;1.0;0.0;0.11318367346938821;0.02823016836734696;0.16801835723321115
0.0;0.0;1.0;41.01022869919454;2996.025035443085;54.735957426933574
0.0;1.0;0.0;9.120971751412421;168.83552917514135;12.993672659226926
0.0;1.0;1.0;9.15447681016516;169.629882664346;13.024203724771278
1.0;0.0;0.0;9.110206227466527;167.6135251200445;12.946564220674322
1.0;0.0;1.0;9.129157898411693;168.1777669248085;12.968337091732637
1.0;1.0;0.0;9.149797145314572;169.48545660142702;13.018658018452863
1.0;1.0;1.0;9.163793707060801;170.44507974120714;13.055461682422692
0.0;0.0;0.0;2.6064094868386896;8.478452224822224;2.911778189495591
0.0;0.0;1.0;1.3602887865887678;2.31658377383236;1.522032776858751
0.0;1.0;0.0;0.11318367346938821;0.02823016836734696;0.16801835723321115
0.0;1.0;1.0;0.1129314707201517;0.028284263323406365;0.1681792594923832
1.0;0.0;0.0;0.11459902591555847;0.0288078367538084;0.1697287151716185
1.0;0.0;1.0;0.11423371617703768;0.028817515355924823;0.1697572247532482
1.0;1.0;0.0;0.11290658718753491;0.02827928621474355;0.1681644618067193
1.0;1.0;1.0;0.11388086254970352;0.02854469969172186;0.16895176735305809
