dist;p;q;MAE;MSE;RMSE
ged;2;1;0.14852090572426774;0.036038257831567305;0.18983745107740807
normal;1;2;0.15028455625336315;0.036799439108285224;0.19183179900184752
normal;1;3;0.15042603145452724;0.03694798323415265;0.1922185819169225
normal;1;4;0.15095802058831112;0.037320355120433545;0.19318476938007703
normal;2;1;0.14979604808355845;0.03651827394231941;0.19109755085379668
normal;2;2;0.15032585232886916;0.03684172325429015;0.19194197887458114
normal;2;3;0.1503490239579372;0.03692823933032382;0.19216721710615423
normal;2;4;0.15040365152147397;0.036955501775406456;0.1922381381916878
normal;3;1;0.14977727935092422;0.03649101544376536;0.19102621663992972
normal;3;2;0.14994558076951942;0.03666217544884613;0.19147369388207386
normal;3;3;0.15004641529337615;0.03675944366058563;0.1917275245252638
normal;3;4;0.1501184672396164;0.036699973567771965;0.19157237161911414
normal;4;1;0.1498223974927216;0.03649660028437899;0.1910408340758043
normal;4;2;0.1495891229847053;0.03649746456181625;0.1910430960851929
normal;4;3;0.14963025295908336;0.03645882675891238;0.19094194604358775
normal;4;4;0.14968138100380463;0.03649593041165654;0.19103908084906748
t;1;1;6900103.931653704;1.5897227201211634e+16;126084206.78741503
t;1;2;152226.86763433157;10982456675633.66;3313978.979359051
t;1;3;38623.20885063959;347122374452.3272;589170.9212548827
t;1;4;338.5600703159846;54397974.17900115;7375.4982325942665
t;2;1;5334118.883585079;1.3390712832680138e+16;115718247.62188606
t;2;2;231589.89251577627;17415235475767.018;4173156.5362165626
t;2;3;762154.0886713318;274887294651911.16;16579725.409424342
t;2;4;512190.94587390975;124388771372411.17;11152971.414489107
t;3;1;174037.78465594663;13645384359694.78;3693965.939162783
t;3;2;1116141.2047468694;586361523580445.6;24214902.923209205
t;3;3;51473238.09602285;1.2426253354431483e+18;1114731059.692493
t;3;4;2878877.1370963096;3759808906267168.5;61317280.64964369
t;4;1;155723927468.4805;1.1515999519739986e+25;3393523172123.6245
t;4;2;1237717.1253126627;720937865590906.4;26850286.136108615
t;4;3;317598871507.0113;2.6547481759242837e+25;5152424842658.342
t;4;4;920794150.7757943;2.4334741444501894e+20;15599596611.612076
studentst;1;1;6900103.931653704;1.5897227201211634e+16;126084206.78741503
studentst;1;2;152226.86763433157;10982456675633.66;3313978.979359051
studentst;1;3;38623.20885063959;347122374452.3272;589170.9212548827
studentst;1;4;338.5600703159846;54397974.17900115;7375.4982325942665
studentst;2;1;5334118.883585079;1.3390712832680138e+16;115718247.62188606
studentst;2;2;231589.89251577627;17415235475767.018;4173156.5362165626
studentst;2;3;762154.0886713318;274887294651911.16;16579725.409424342
studentst;2;4;512190.94587390975;124388771372411.17;11152971.414489107
studentst;3;1;174037.78465594663;13645384359694.78;3693965.939162783
studentst;3;2;1116141.2047468694;586361523580445.6;24214902.923209205
studentst;3;3;51473238.09602285;1.2426253354431483e+18;1114731059.692493
studentst;3;4;2878877.1370963096;3759808906267168.5;61317280.64964369
studentst;4;1;155723927468.4805;1.1515999519739986e+25;3393523172123.6245
studentst;4;2;1237717.1253126627;720937865590906.4;26850286.136108615
studentst;4;3;317598871507.0113;2.6547481759242837e+25;5152424842658.342
studentst;4;4;920794150.7757943;2.4334741444501894e+20;15599596611.612076
ged;1;1;0.14869005566586938;0.03617094500342868;0.1901866057413841
ged;1;2;0.14894602912246752;0.036450675394327794;0.19092059971183778
ged;1;3;0.14949889224230864;0.03667510748533332;0.1915074606518851
ged;1;4;0.15008229936065043;0.037125742080921925;0.19268041436773464
ged;2;1;0.14852090572426774;0.036038257831567305;0.18983745107740807
ged;2;2;0.14965495358835165;0.03663218676711203;0.1913953676741212
ged;2;3;0.14979233878127143;0.03677519255142011;0.19176859114938533
ged;2;4;0.14990819497547717;0.03699143853543295;0.19233158486175106
ged;3;1;0.14878925665895398;0.0361863432966818;0.1902270834993845
ged;3;2;0.14949426394710724;0.03670655899828921;0.19158955868806946
ged;3;3;0.1496275808791219;0.036742697661326394;0.19168384820147574
ged;3;4;0.15023937701421053;0.03719293501129513;0.19285469922015155
ged;4;1;0.14926086040940365;0.03639722911698391;0.190780578458563
ged;4;2;0.14943790709645047;0.036618595502508136;0.19135985864989588
ged;4;3;0.14973860153928137;0.03684109597852114;0.19194034484318595
ged;4;4;0.1503271999908989;0.037229101211942305;0.1929484418489621
gaussian;1;1;0.14997881030295693;0.03662705895460027;0.19138197134160853
gaussian;1;2;0.15028455625336315;0.036799439108285224;0.19183179900184752
gaussian;1;3;0.15042603145452724;0.03694798323415265;0.1922185819169225
gaussian;1;4;0.15095802058831112;0.037320355120433545;0.19318476938007703
gaussian;2;1;0.14979604808355845;0.03651827394231941;0.19109755085379668
gaussian;2;2;0.15032585232886916;0.03684172325429015;0.19194197887458114
gaussian;2;3;0.1503490239579372;0.03692823933032382;0.19216721710615423
gaussian;2;4;0.15040365152147397;0.036955501775406456;0.1922381381916878
gaussian;3;1;0.14977727935092422;0.03649101544376536;0.19102621663992972
gaussian;3;2;0.14994558076951942;0.03666217544884613;0.19147369388207386
gaussian;3;3;0.15004641529337615;0.03675944366058563;0.1917275245252638
gaussian;3;4;0.1501184672396164;0.036699973567771965;0.19157237161911414
gaussian;4;1;0.1498223974927216;0.03649660028437899;0.1910408340758043
gaussian;4;2;0.1495891229847053;0.03649746456181625;0.1910430960851929
gaussian;4;3;0.14963025295908336;0.03645882675891238;0.19094194604358775
gaussian;4;4;0.14968138100380463;0.03649593041165654;0.19103908084906748
