dist;p;q;MAE;MSE;RMSE
normal;3;3;3.6880973958401437;16.871129261141867;4.1074480229385575
normal;1;2;3.7614188942173583;17.17391687754689;4.144142477949677
normal;1;3;3.78045465772345;17.276937473300194;4.156553557131219
normal;2;1;3.915139844612114;18.300544958964316;4.277913622195324
normal;2;2;3.8573991839661197;17.87001057982644;4.227293528940999
normal;2;3;3.7421940727319774;17.06054899175714;4.130441742932242
normal;3;1;3.7936921210832666;17.462323753852726;4.178794533576965
normal;3;2;3.8574047318583067;17.86728071785159;4.2269706312975
normal;3;3;3.6880973958401437;16.871129261141867;4.1074480229385575
t;1;1;3.838456399061482;17.80784702212684;4.219934480786027
t;1;2;3.876480579140233;18.03369586439302;4.246609926093168
t;1;3;3.7502597536617266;16.996758026575915;4.122712459846784
t;2;1;3.886089730007857;18.071635541242046;4.2510746336946434
t;2;2;3.865955104423448;17.86277659472039;4.226437813894863
t;2;3;3.789932434384722;17.33960258990445;4.164084844225013
t;3;1;3.923918868936254;18.345303921638983;4.283141828335712
t;3;2;3.8660039071309824;17.87063699210797;4.227367619702356
t;3;3;3.799114809964098;17.383020925903427;4.169295015455662
gaussian;1;1;3.8958885774741647;18.163537664248267;4.26187020734422
gaussian;1;2;3.7614188942173583;17.17391687754689;4.144142477949677
gaussian;1;3;3.78045465772345;17.276937473300194;4.156553557131219
gaussian;2;1;3.915139844612114;18.300544958964316;4.277913622195324
gaussian;2;2;3.8573991839661197;17.87001057982644;4.227293528940999
gaussian;2;3;3.7421940727319774;17.06054899175714;4.130441742932242
gaussian;3;1;3.7936921210832666;17.462323753852726;4.178794533576965
gaussian;3;2;3.8574047318583067;17.86728071785159;4.2269706312975
gaussian;3;3;3.6880973958401437;16.871129261141867;4.1074480229385575
