dist;p;q;MAE;MSE;RMSE
t;3;1;0.4282696003731845;0.29303322510561775;0.5413254336400773
normal;1;2;0.4469313075961054;0.3106933373738195;0.5573987238717177
normal;1;3;0.4459797927412558;0.3103821700397988;0.5571195294008269
normal;2;1;0.4398367817654915;0.30771605289530735;0.5547215994490455
normal;2;2;0.4403454822462277;0.3075102283245004;0.5545360478133955
normal;2;3;0.4447548054775144;0.3101440554868799;0.5569057869037454
normal;3;1;0.43977854451242915;0.30336696469595553;0.5507875858222983
normal;3;2;0.443725243998178;0.306138731603756;0.5532980495210118
normal;3;3;0.44112143307194057;0.3047817267817964;0.5520704002043547
t;1;1;0.44725366518981136;0.3100976012141183;0.5568640778629182
t;1;2;0.4400446710898994;0.3048829278399247;0.5521620485327878
t;1;3;0.4349010160389835;0.3008963258928233;0.5485401770999306
t;2;1;0.4356324381599522;0.3021174471219973;0.549652114634336
t;2;2;0.44520802918853597;0.30783591404837074;0.5548296261451534
t;2;3;0.4434751405445663;0.3055061559695032;0.552726112979569
t;3;1;0.4282696003731845;0.29303322510561775;0.5413254336400773
t;3;2;0.4350468085138953;0.29798707512526995;0.5458819241605917
t;3;3;8050237.534070232;1.9377088853128228e+16;139201612.25046292
gaussian;1;1;0.4447131255028831;0.3108011046163691;0.5574953852870614
gaussian;1;2;0.4469313075961054;0.3106933373738195;0.5573987238717177
gaussian;1;3;0.4459797927412558;0.3103821700397988;0.5571195294008269
gaussian;2;1;0.4398367817654915;0.30771605289530735;0.5547215994490455
gaussian;2;2;0.4403454822462277;0.3075102283245004;0.5545360478133955
gaussian;2;3;0.4447548054775144;0.3101440554868799;0.5569057869037454
gaussian;3;1;0.43977854451242915;0.30336696469595553;0.5507875858222983
gaussian;3;2;0.443725243998178;0.306138731603756;0.5532980495210118
gaussian;3;3;0.44112143307194057;0.3047817267817964;0.5520704002043547
