dist;p;q;MAE;MSE;RMSE
normal;1;3;244.27316419680392;64239.510475217554;253.4551448979041
normal;1;2;244.27412049045358;64239.95010630041;253.45601217233025
normal;1;3;244.27316419680392;64239.510475217554;253.4551448979041
normal;2;1;244.2892076907595;64247.232683539536;253.47037831576995
normal;2;2;244.28874360886184;64247.01399524241;253.46994692713062
normal;2;3;244.28597104182407;64245.50939461217;253.46697890378576
normal;3;1;244.28886199912398;64247.03288596377;253.46998419135107
normal;3;2;244.28858182975696;64246.893914308836;253.46971005291508
normal;3;3;244.28573075988592;64245.410760221326;253.4667843332166
t;1;1;256.22705097072657;71908.55917857267;268.15771325578663
t;1;2;255.77967198626305;71620.47328167151;267.6200165938107
t;1;3;255.47323380013802;71410.7142260551;267.2278320573198
t;2;1;256.2530509826808;71927.69575622691;268.19339245445053
t;2;2;255.85801393341117;71664.98275237597;267.7031616406052
t;2;3;255.47656083696023;71419.4539484958;267.24418412473597
t;3;1;256.2554506295058;71920.4707882426;268.1799224182202
t;3;2;255.8122592101043;71630.04978721829;267.637907978706
t;3;3;255.04451185144384;71132.84098466493;266.7074070674921
gaussian;1;1;244.2744084036571;64240.134770914134;253.45637646528866
gaussian;1;2;244.27412049045358;64239.95010630041;253.45601217233025
gaussian;1;3;244.27316419680392;64239.510475217554;253.4551448979041
gaussian;2;1;244.2892076907595;64247.232683539536;253.47037831576995
gaussian;2;2;244.28874360886184;64247.01399524241;253.46994692713062
gaussian;2;3;244.28597104182407;64245.50939461217;253.46697890378576
gaussian;3;1;244.28886199912398;64247.03288596377;253.46998419135107
gaussian;3;2;244.28858182975696;64246.893914308836;253.46971005291508
gaussian;3;3;244.28573075988592;64245.410760221326;253.4667843332166
