K%_14_SMA_3;Abertura|T-7|_TSI_13:25;R%_21;R%_14
-4.666666666666686;-14.862621647066216;-10.000000000000142;-3.9999999999999134
-2.999999999999995;-14.028926660304734;-5.999999999999872;0.0
-0.6666666666666524;-13.919026830635206;-5.000000000000071;-3.0000000000001137
-0.3333333333333854;-12.628686789089013;-0.999999999999801;0.0
-1.6666666666666905;-10.353765191380283;5.999999999999872;0.999999999999801
-2.333333333333343;-10.119439954520198;0.999999999999801;-2.0000000000003126
-3.3333333333332624;-7.557112881153472;6.000000000000227;1.9999999999999567
-3.9999999999999134;-4.01215991391283;7.000000000000028;5.999999999999872
-10.000000000000025;1.621983405539572;17.00000000000017;15.000000000000211
-14.666666666666709;6.279181841580489;16.999999999999815;16.999999999999815
-19.000000000000128;9.939516641843031;16.999999999999815;14.999999999999858
-19.3333333333334;13.190318268529849;16.000000000000014;14.000000000000057
-17.33333333333344;15.016552923188147;16.000000000000014;12.0000000000001
-16.333333333333517;16.509847804752706;14.000000000000057;11.000000000000298
-15.666666666666863;19.54977645986855;19.99999999999993;12.0000000000001
-15.33333333333348;20.666948828947262;17.99999999999997;1.9999999999999567
-11.99999999999998;22.9998902849442;23.999999999999844;5.000000000000071
-10.666666666666558;26.47794028333647;27.99999999999976;8.999999999999986
-13.666666666666552;31.17652984106573;33.999999999999986;17.99999999999997
-19.333333333333275;35.86241720734284;39.00000000000006;19.000000000000128
-23.99999999999996;39.6317395985068;39.00000000000006;21.999999999999886
-27.99999999999988;43.33209561343145;37.9999999999999;21.999999999999886
-27.99999999999988;46.22165674150366;30.999999999999872;22.999999999999687
-27.66666666666661;47.05685974890443;26.00000000000016;19.000000000000128
-24.00000000000008;47.23233930768131;23.000000000000043;12.9999999999999
-18.00000000000009;43.46433767107308;16.000000000000014;-2.9999999999997584
-9.333333333333371;40.89068495927385;14.000000000000057;-10.999999999999943
-2.333333333333343;40.042161055378514;21.999999999999886;-1.9999999999999567
-0.6666666666666524;39.96727758117888;21.000000000000085;-5.999999999999872
