R%_5;Abertura|T-7|_TSI_13:25;R%_21;R%_14
-1.0000000000001563;-11.231725958687582;-8.000000000000185;-12.0000000000001
-3.9999999999999134;-13.254725464634888;-12.9999999999999;-9.999999999999789
-3.0000000000001137;-14.233064481290157;-13.000000000000256;-6.000000000000227
0.999999999999801;-13.749982687674349;-11.000000000000298;0.0
0.0;-13.84386391750798;-16.999999999999815;0.0
0.0;-14.404773838368437;-17.00000000000017;-3.0000000000001137
-1.0000000000001563;-14.863008859815553;-16.000000000000014;-3.0000000000001137
0.0;-15.74132738054281;-12.9999999999999;-1.9999999999999567
-3.0000000000001137;-16.97434995127591;-10.999999999999943;-1.9999999999999567
-1.9999999999999567;-18.002507766489185;-8.000000000000185;-3.0000000000001137
0.0;-17.36510711230002;-1.9999999999999567;-3.0000000000001137
-4.00000000000027;-16.83371942186192;-1.0000000000001563;-3.0000000000001137
-5.000000000000071;-16.94634817242941;-3.9999999999999134;-1.9999999999999567
-5.000000000000071;-15.436985298717495;-1.9999999999999567;0.0
-4.999999999999716;-11.81885158164151;3.0000000000001137;4.00000000000027
-2.9999999999997584;-7.380004710917615;6.000000000000227;5.000000000000071
2.9999999999997584;-1.671735356932451;7.999999999999829;9.999999999999789
0.0;0.7468101846638258;3.0000000000001137;5.000000000000071
0.999999999999801;1.9401844521970093;1.9999999999999567;5.000000000000071
-1.0000000000001563;1.5124431029080505;1.9999999999999567;3.0000000000001137
-3.0000000000001137;-0.1587404402004347;0.0;-3.0000000000001137
0.0;-0.14836194981926;3.0000000000001137;-1.0000000000001563
5.999999999999872;-0.1401962326075744;1.9999999999999567;-3.0000000000001137
-0.999999999999801;-3.965021298910952;-1.9999999999999567;-11.999999999999744
-0.999999999999801;-6.890946045425454;-3.9999999999999134;-11.999999999999744
0.0;-9.195868604290048;-2.9999999999997584;-8.999999999999986
0.0;-11.05391011786598;-2.9999999999997584;-8.999999999999986
2.0000000000003126;-12.579726674160137;-7.000000000000028;-7.000000000000028
0.0;-15.00886450484034;-9.000000000000341;-9.000000000000341
-0.999999999999801;-17.576735255873384;-12.0000000000001;-10.000000000000142
-1.9999999999999567;-19.69637897135188;-14.999999999999858;-8.999999999999986
-1.0000000000001563;-20.599275078121654;-14.000000000000057;-2.0000000000003126
-3.0000000000001137;-21.354325507662143;-11.000000000000298;-3.0000000000001137
-1.9999999999999567;-21.06369782256621;-10.000000000000142;-1.9999999999999567
-0.999999999999801;-19.87267464574348;-7.000000000000028;0.0
0.0;-17.917662413842038;-6.000000000000227;0.999999999999801
-1.0000000000001563;-17.645448024635975;-8.000000000000185;1.0000000000001563
