K%_8;Abertura|T-7|_ROC_12;K%_10;R%_5
0.6176470588235288;0.4569683918075504;0.525612472160356;0.5994550408719341
0.633689839572192;0.4878996738372337;0.5434298440979952;0.5803814713896452
0.5909090909090904;0.4819726838056973;0.5300668151447657;0.6702997275204354
0.6417112299465234;0.5752117896983235;0.5857461024498882;0.5967302452316072
0.6577540106951867;0.5881744438825314;0.5634743875278393;0.5940054495912803
0.5855614973262029;0.5587669847504468;0.5545657015590199;0.585831062670299
0.582887700534759;0.5179354245357332;0.5590200445434296;0.6267029972752037
0.6096256684491974;0.5262883524010405;0.5189309576837414;0.5967302452316068
0.6203208556149731;0.5545446167894342;0.5278396436525612;0.5749318801089914
0.6042780748663094;0.5730192246450166;0.5345211581291754;0.5667574931880106
0.5748663101604272;0.5424171134731925;0.5189309576837414;0.6212534059945499
0.564171122994652;0.5423130246596829;0.4966592427616921;0.6076294277929154
0.6176470588235288;0.5412807259990701;0.5167037861915362;0.5694822888283375
0.582887700534759;0.5073571425246968;0.4966592427616925;0.5803814713896452
0.5614973262032082;0.50781883456064;0.5055679287305119;0.5831062670299721
0.5855614973262029;0.4404040758198236;0.4944320712694877;0.5531335149863756
0.5775401069518714;0.4166064340732638;0.4721603563474387;0.572207084468664
0.5508021390374326;0.389866824143068;0.4699331848552335;0.5613079019073564
0.564171122994652;0.3928000367557892;0.4743875278396436;0.5340599455040866
0.5561497326203206;0.3309366595727925;0.4454342984409797;0.572207084468664
0.5401069518716569;0.3015035546052087;0.4432071269487744;0.6049046321525885
0.6069518716577537;0.3018782970111452;0.4677060133630286;0.6103542234332423
0.6149732620320855;0.3455181604287306;0.4855233853006678;0.6103542234332417
0.6203208556149726;0.3633052832607932;0.5456570155902001;0.5694822888283375
0.6069518716577532;0.3313114031688668;0.5389755011135855;0.5803814713896457
0.5721925133689839;0.3281533362569021;0.5167037861915366;0.5613079019073564
0.5935828877005347;0.3692199018235351;0.525612472160356;0.5613079019073564
0.5534759358288763;0.2956061798283645;0.461024498886414;0.618528610354223
0.5668449197860959;0.3572519053182809;0.4899777282850779;0.5694822888283371
0.5909090909090904;0.3719376646977256;0.5011135857461022;0.5613079019073564
0.5588235294117639;0.350965337373804;0.4610244988864136;0.5912806539509534
0.5561497326203202;0.3716455106248966;0.4788418708240529;0.602179836512261
0.5909090909090909;0.4077334913577367;0.4810690423162581;0.5994550408719341
0.6069518716577537;0.4047076131999837;0.4922048997772824;0.5694822888283375
0.5989304812834219;0.3896905415707513;0.5144766146993317;0.5940054495912803
0.5882352941176466;0.3658650812502815;0.5167037861915366;0.5912806539509534
0.5882352941176466;0.3718165636315679;0.5122494432071265;0.5831062670299721
0.5748663101604277;0.3746957504632244;0.4966592427616925;0.588555858310626
0.5721925133689839;0.3539884504805458;0.4966592427616925;0.5831062670299721
0.5855614973262023;0.4107684358170849;0.4899777282850776;0.5912806539509534
0.577540106951871;0.3656921916421963;0.4810690423162581;0.5967302452316072
0.5909090909090909;0.3776768842673657;0.5033407572383071;0.5749318801089909
0.601604278074866;0.4137852476732417;0.5055679287305119;0.5476839237057217
0.5882352941176466;0.4137988471256361;0.5055679287305124;0.5558583106267025
0.5534759358288763;0.3714478298920112;0.4855233853006678;0.5831062670299726
0.596256684491978;0.3504447341057417;0.4721603563474383;0.5912806539509534
0.5695187165775396;0.3474301297116172;0.4654788418708238;0.5912806539509529
0.5935828877005342;0.359454826881022;0.5144766146993314;0.5694822888283375
0.5802139037433148;0.3383863165292431;0.4810690423162577;0.5803814713896457
0.5882352941176466;0.365400596563289;0.5055679287305119;0.5149863760217978
