R%_5;Fechamento_TSI_13:25;K%_14_SMA_3;K%_14
0.6231745016522732;0.3317447047520967;0.4500128722217456;0.4831893892658856
0.5820275023984627;0.3459960045096819;0.4993849938499385;0.5460363972856264
0.4836371388977696;0.3680467894309754;0.5668640407334309;0.6390345465761869
0.6630423195821339;0.3809345062496219;0.6158642981778657;0.6152837754472547
0.5936467327577004;0.3935635381331954;0.6558826053376815;0.6539173349784086
0.4823579575738169;0.4078352920452966;0.6655510741153932;0.665098704503394
0.4670077816863842;0.4143245688298387;0.6659229382991514;0.6162862430598399
0.5287282805671045;0.3968817720784888;0.6212134214365405;0.5333898827884012
0.5904487794478186;0.3963839697856812;0.5575388312022652;0.4934454040715597
0.55953523078563;0.3886850750231294;0.5079950799507992;0.482726711906231
0.529900863447391;0.3905160221266913;0.4603964644297607;0.4050740283775447
0.608996908645133;0.3921154965555219;0.4474670328098631;0.4585903763109182
0.6347937320115108;0.3955840835597363;0.4228095769329789;0.4162553979025301
0.5370429591727941;0.3938381190472652;0.4492119339798052;0.4762492288710673
0.5916213623281081;0.4136703928627645;0.4537029091221151;0.4706971005552127
0.5480225988700554;0.4503456795296219;0.5032180554363688;0.5497378161628628
0.5646519560814378;0.5134763793931139;0.533596498755686;0.5581431215299208
0.5839462743843918;0.5530941492255297;0.5598272261792394;0.5414096236890809
0.5062360089542687;0.582081665694876;0.5570525472696594;0.5422578655151138
0.4026223217141045;0.6059300117801624;0.5622014359678481;0.5720234423195552
0.427779554418506;0.6265176352340444;0.5418061157355754;0.4864281307834653
0.3833280034111505;0.6476444063497624;0.4654023284418878;0.3362893275755687
0.5132715062360086;0.6420728958748936;0.3756972453445453;0.3301974090067856
0.5602814198912665;0.6382202290748331;0.2868503103635685;0.2469154842689707
0.5646519560814408;0.6255523728383763;0.2643954346520208;0.2757557063541007
0.5274490992431488;0.6154755496426584;0.242455447810292;0.2710518198642814
0.5447180471165104;0.611850029727609;0.251265768471638;0.2706662553979029
0.629677006715703;0.6050639247530667;0.2353900283188882;0.232958050586058
