R%_5;HLC_CCI_14;K%_10;K%_14
-50.099999999999056;-132.9049356012873;0.0;5.799999999999272
-50.10000000000048;-140.3422132519974;-33.70000000000033;-20.600000000000307
-50.7000000000005;-125.34325846590122;-62.699999999999534;-34.30000000000035
-40.100000000001046;-99.24035442167632;-80.70000000000022;-52.79999999999916
-37.5;-85.01743732049991;-73.79999999999995;-73.79999999999995
-37.000000000000455;-90.76459887610828;-77.49999999999915;-110.69999999999992
-53.79999999999967;-92.96451391309674;-61.19999999999948;-124.49999999999903
-17.39999999999924;-97.06561284771904;-68.50000000000023;-148.7000000000009
12.699999999999534;-93.06942876597368;-74.39999999999998;-148.69999999999948
-7.399999999999807;-67.97268148514252;-35.300000000000864;-113.40000000000003
-21.60000000000082;-66.12782498728657;-13.700000000000044;-74.89999999999952
-26.39999999999958;-65.5971628359576;-4.200000000000159;-72.70000000000039
-21.5999999999994;-55.58411811479622;12.099999999999511;-62.30000000000047
-7.900000000000773;-58.35531978371005;-15.29999999999916;-50.60000000000002
1.0000000000005116;-35.52235933401938;-29.50000000000017;-43.200000000000216
-22.699999999998965;-17.778204062139718;-4.200000000000159;-9.000000000000341
-10.000000000000853;44.35327895001674;-10.599999999999454;1.0000000000005116
-7.30000000000075;27.030278509664843;-1.099999999999568;-16.399999999998727
-11.599999999999966;48.98497755353258;6.799999999999784;-22.700000000000387
-7.399999999999807;134.8782947426805;0.0;-4.699999999999704
-13.19999999999908;149.19309087089755;20.59999999999889;9.999999999999432
9.499999999999886;115.20595792847504;11.599999999999966;11.10000000000042
-27.900000000001057;137.74881408278125;34.30000000000035;40.60000000000059
-13.2000000000005;112.03204643374224;24.800000000000463;24.800000000000463
14.19999999999959;65.85670704488292;-2.599999999999625;17.99999999999926
4.200000000000159;34.808478037106134;22.100000000000364;33.19999999999936
0.0;11.611672062096178;0.0;33.799999999999386
-1.5999999999991132;6.731642168977345;12.599999999999056;37.39999999999952
-1.5000000000000568;19.6942672188737;27.89999999999964;25.30000000000001
-20.10000000000076;120.01912527998893;18.000000000000682;40.60000000000059
-32.19999999999885;143.7924473429414;14.19999999999959;14.19999999999959
-18.999999999999773;69.77572806045359;-11.599999999999966;0.9999999999990904
-9.000000000000341;91.4777157677663;-20.49999999999983;7.399999999999807
-0.5000000000009663;67.71116247589099;-33.799999999999386;-15.29999999999916
20.49999999999983;45.900211651420726;-28.49999999999966;-13.700000000000044
-2.10000000000008;109.86702765140453;25.800000000000978;14.800000000001036
-16.899999999999693;132.27911602875744;43.80000000000024;22.700000000000387
6.9000000000002615;81.76146981126503;38.49999999999909;4.699999999999704
-11.599999999999966;85.40294999762283;43.69999999999976;15.200000000000102
-17.40000000000066;87.76108983913316;29.600000000000648;42.70000000000067
1.099999999999568;11.73602621504233;-7.399999999999807;36.40000000000043
5.300000000001148;26.57673308266106;8.899999999999864;47.99999999999898
-16.400000000000148;72.26845687637282;13.800000000000525;57.50000000000029
-5.299999999999727;78.17746785550989;-1.6000000000005343;28.00000000000012
-17.900000000000205;73.88955814006631;13.2000000000005;5.8000000000006935
-38.000000000000966;83.63018268182206;23.70000000000089;33.200000000000784
1.6000000000005343;-38.85754281746454;-24.800000000000463;-11.599999999999966
3.699999999999193;-80.91431914657426;-13.2000000000005;-14.300000000000068
6.799999999999784;-82.93404689108128;-7.899999999999352;4.800000000000182
-0.6000000000000227;-67.38325483523353;-16.799999999999216;7.400000000001228
-8.900000000001285;-59.87370047779635;18.40000000000117;-5.799999999999272
-20.10000000000076;-82.72149705918956;14.300000000000068;1.099999999999568
-19.49999999999932;-118.15942988101072;2.599999999999625;-5.299999999999727
-5.299999999999727;-67.55381276687467;-18.000000000000682;-34.7999999999999
-5.799999999999272;-60.89492811913974;-20.600000000000307;-2.7000000000001023
-5.299999999999727;-86.22099868602649;-23.19999999999993;-8.899999999999864
-14.300000000000068;-92.44665970682418;-16.799999999999216;-13.700000000000044
-19.599999999999795;-85.79659804113311;-6.799999999999784;-24.800000000000463
9.000000000000341;-101.7238368754128;-15.29999999999916;-35.899999999999466
-4.200000000000159;-86.44429718653869;-2.7000000000001023;-25.90000000000004
-17.40000000000066;-22.5548465160575;3.700000000000614;-12.599999999999056
-10.999999999999943;-48.43891483078154;-2.200000000000557;-9.000000000000341
-4.7000000000011255;-1.6544901636153573;0.0;-15.799999999998704
-6.300000000000239;48.17559826765771;-9.000000000000341;-11.10000000000042
-3.700000000000614;-6.527742271721161;-17.900000000000205;-14.19999999999959
0.6000000000000227;-26.24647556120908;-10.599999999999454;-12.199999999999989
-7.899999999999352;6.6531381931105225;5.799999999999272;6.299999999998818
2.10000000000008;-56.39597740499545;3.700000000000614;-4.800000000000182
-4.800000000000182;-95.08955705758125;17.900000000000205;0.0
-17.900000000000205;-64.18169892785735;24.799999999999045;13.700000000000044
-7.899999999999352;-36.92219411316367;8.400000000000318;14.799999999999612
-6.799999999999784;-106.51149617386528;2.599999999999625;5.8000000000006935
-24.30000000000092;-123.03253146411136;-4.200000000000159;13.700000000000044
-28.00000000000012;-82.15115977916847;-9.999999999999432;14.799999999999612
-7.999999999999829;-143.8688064309008;-20.49999999999983;-11.599999999999966
-0.4999999999995452;-110.49706941157244;-17.40000000000066;-14.800000000001036
-14.300000000000068;-88.92504317844121;-13.2000000000005;-17.40000000000066
-13.2000000000005;-87.9057122164759;-15.800000000000123;-26.39999999999958
0.6000000000000227;-110.61395786191332;-8.500000000000796;-28.49999999999966
-9.499999999999886;-98.27559847989863;-2.600000000001046;-19.50000000000074
-2.10000000000008;-55.201641116504895;-11.10000000000042;-23.799999999999955
-8.499999999999375;-57.34433413963387;-8.400000000000318;-24.200000000000443
-5.299999999999727;-68.05220305251915;1.5999999999991132;-7.400000000001228
-5.799999999999272;-106.13471881507937;-3.100000000000591;-5.200000000000671
-7.399999999999807;-91.08996994586552;-5.200000000000671;-16.30000000000109
0.4999999999995452;-52.20411546754416;-3.699999999999193;-12.099999999999511
-4.699999999999704;43.25325519381175;0.0;1.5999999999991132
-11.10000000000042;75.6445366368303;1.100000000000989;-2.599999999999625
-17.900000000000205;146.61678063907297;5.200000000000671;0.0
-6.300000000000239;80.1295843678911;-4.200000000000159;-7.399999999999807
-3.100000000000591;119.81820419060882;-6.399999999999295;-6.89999999999884
3.199999999999648;110.09817288917492;-1.6000000000005343;0.0
-3.199999999999648;94.12163040953448;1.099999999999568;6.300000000000239
-2.10000000000008;49.97055972817805;14.19999999999959;9.999999999999432
-9.999999999999432;44.164864150869285;23.69999999999948;17.900000000000205
2.599999999999625;18.57063609245797;14.300000000000068;12.699999999999534
-6.299999999998818;108.70735808597578;16.29999999999967;17.39999999999924
-11.599999999999966;101.9448853395266;12.100000000000932;26.900000000000546
-18.500000000000227;62.28775406384885;1.6000000000005343;25.30000000000001
-14.300000000000068;-53.87681680516005;0.0;14.300000000000068
-10.600000000000875;1.7273406930267428;-14.19999999999959;1.6000000000005343
4.200000000000159;98.365502506368;-11.10000000000042;1.0000000000005116
-3.100000000000591;100.15719332352492;-4.800000000000182;-3.199999999999648
