K%_14_SMA_3;Abertura|T-7|_ROC_11;R%_21;R%_14
-27.666666666666675;-2.691924227318042;23.000000000000043;22.000000000000064
-26.33333333333337;-2.5896414342629464;21.000000000000085;20.000000000000107
-20.333333333333385;-2.093718843469582;16.000000000000014;14.000000000000057
-17.33333333333339;-2.1956087824351185;17.99999999999997;-1.0000000000001563
-13.000000000000028;-1.7034068136272538;20.999999999999908;-0.9999999999999788
-8.000000000000016;-1.7034068136272538;19.99999999999993;-3.0000000000001137
1.666666666666681;-1.3052208835341443;17.99999999999997;-16.999999999999993
9.000000000000036;-0.6072874493927175;16.000000000000014;-15.000000000000036
12.00000000000003;0.1018329938900182;15.000000000000036;-8.000000000000007
9.666666666666687;0.2038735983690068;13.000000000000078;-6.00000000000005
4.666666666666676;1.3429752066115783;-2.000000000000135;-2.000000000000135
2.333333333333333;0.5122950819672204;-0.9999999999999788;-2.000000000000135
1.3333333333332955;0.6134969325153425;-6.00000000000005;-3.9999999999999134
2.6666666666666003;0.2036659877800364;-17.99999999999997;-5.000000000000071
2.6666666666666003;0.4081632653061137;-16.999999999999993;-3.9999999999999134
2.333333333333274;0.4077471967380137;-9.999999999999964;-3.9999999999999134
0.3333333333333168;0.0;-4.000000000000092;0.9999999999999788
-9.473903143468002e-15;-0.101729399796539;-3.0000000000001137;-0.9999999999999788
0.666666666666643;0.3054989816700545;-6.00000000000005;-4.999999999999893
2.6666666666666003;0.203458799593078;-4.999999999999893;-4.999999999999893
3.3333333333332527;0.203458799593078;-6.00000000000005;-1.9999999999999567
1.999999999999948;0.3058103975535102;-3.9999999999999134;-0.9999999999999788
-1.3333333333333737;-0.2038735983690249;2.000000000000135;5.000000000000071
-3.333333333333331;-0.3048780487804813;0.9999999999999788;0.0
-3.666666666666657;-0.4065040650406418;0.9999999999999788;0.9999999999999788
0.3333333333333759;0.4065040650406598;-8.000000000000007;-7.000000000000028
3.3333333333333712;0.5076142131979768;-9.999999999999964;-5.000000000000071
6.00000000000004;1.1213047910295555;-8.999999999999986;-10.999999999999943
8.666666666666709;1.7311608961303455;-16.000000000000014;-16.000000000000014
10.666666666666666;1.0152284263959357;-10.999999999999943;-16.000000000000014
14.6666666666667;1.3197969543147288;-16.999999999999993;-22.000000000000064
15.66666666666668;1.3197969543147288;-16.999999999999993;-22.000000000000064
16.999999999999982;1.1178861788617829;-13.99999999999988;-16.000000000000014
12.333333333333238;1.532175689479064;-8.999999999999986;-7.000000000000028
8.333333333333206;1.4271151885830662;-13.99999999999988;-4.999999999999893
1.9999999999998888;1.4285714285714162;-10.999999999999943;3.0000000000001137
-1.6666666666667591;0.7085020242914828;-16.000000000000014;0.0
-3.666666666666716;0.4040404040403954;-17.99999999999997;0.0
-4.333333333333369;-0.100806451612901;-15.000000000000036;6.00000000000005
-3.666666666666716;-0.6006006006006055;-14.000000000000057;0.9999999999999788
-2.333333333333352;0.3015075376884536;-11.00000000000012;-4.000000000000092
1.0000000000000284;0.0;-8.000000000000007;-4.000000000000092
3.3333333333334303;0.0;-0.9999999999999788;-4.000000000000092
3.0000000000001044;0.2010050251256417;-2.000000000000135;-4.000000000000092
1.66666666666674;0.1006036217303801;-0.9999999999999788;-0.9999999999999788
0.3333333333333759;-0.1005025125628119;3.0000000000001137;-3.9999999999999134
0.9999999999999692;0.1006036217303801;-0.9999999999999788;-6.999999999999851
1.6666666666666217;0.0;-0.9999999999999788;-2.999999999999936
-0.6666666666667211;-0.4024144869215206;3.9999999999999134;7.000000000000028
-6.333333333333385;-0.6054490413723561;8.999999999999986;11.00000000000012
-11.666666666666725;-0.9063444108761316;8.999999999999986;10.999999999999943
-12.00000000000005;-1.0020040080160284;5.999999999999872;4.999999999999893
-10.666666666666744;-1.1022044088176473;3.0000000000001137;4.000000000000092
