ADX_14;HLC_CCI_18;Máximo_MACD_12:26;K%_8
0.1749168477010396;0.6549402902136369;0.6534593801695476;0.5622317596566555
0.1594858287481845;0.6089959587031305;0.649618768656985;0.4738702347891953
0.1416176660068787;0.568743199445112;0.6360837780445777;0.6026255995960605
0.1355518557276518;0.5036195734334225;0.6146548081065191;0.6300176723049742
0.1442649387104875;0.4898889324998428;0.5932208450074874;0.633804594799294
0.1625463842697255;0.4649768899949742;0.5764610111995805;0.5958091391062885
0.1904305869393867;0.4302061340310809;0.5616710752931638;0.5759909113860144
0.2120404545326862;0.4248712398264139;0.553503583087924;0.5416561474375176
0.2223674841275136;0.3631603204719537;0.5496165159400962;0.5295379954556942
0.2229924694912129;0.2789366637126045;0.5459331268979047;0.4959606160060577
0.2115119021022441;0.2608120771667571;0.5397576503533669;0.5112345367331481
0.2009924352009892;0.2075769864942353;0.5283628059210105;0.5249936884625105
0.1825834551926835;0.290609305603478;0.5291227357263222;0.5631153749053271
0.152797824325893;0.3618903586841207;0.5342242337369671;0.6101994445847037
0.1271614503088482;0.3800265794322906;0.5512982925689094;0.6079272910881082
0.1222464774476709;0.5553821287101058;0.5664735376412846;0.5699318353951027
0.1264731082101461;0.4920731385170895;0.5687845341654063;0.550744761423885
0.1243911419349708;0.4749998762963427;0.5725038918443323;0.561474375157788
0.1287055580482999;0.5863977998675466;0.5787145320315851;0.5676596818985109
0.1411255044333492;0.6783395094656645;0.5864963673843777;0.6132289825801595
0.1496928634926218;0.629252452318118;0.5907006842937077;0.6094420600858397
0.1463752967036731;0.698002343313902;0.5908861509760563;0.6947740469578405
0.1373048699005549;0.682569554624398;0.5918301863248735;0.6596818985104796
0.1261718662364625;0.5836481565840106;0.5884472534950898;0.5128755364806872
0.1125621682812712;0.5662075942789204;0.585169238927365;0.5973239081040128
0.1006670620571323;0.6301982229834403;0.5848712845518765;0.6269881343095183
0.0916167395052814;0.6656295951953655;0.5867923430374502;0.6018682150972001
0.087853707254095;0.5727534729238957;0.5856625469863496;0.539510224690737
0.096047770917064;0.4743885658128726;0.5772925003839666;0.5759909113860144
0.123655009297335;0.2143627693421508;0.5580056723860363;0.582049987376926
0.161665329484565;0.0940201532349658;0.5254989108464125;0.512749305730876
0.1928931240064419;0.1405244787104624;0.4934936098813465;0.5713203736430195
0.2319002398547232;0.1670858006319056;0.4664413282828329;0.6300176723049742
