autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;12.0;0.04270818614512249;0.0033161564533280862;0.057586078641700254
0.0;0.0;0.0;1.0;0.0;1.0;12.0;0.1720214939274759;0.042273235786256885;0.20560456168640054
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.0721464363327432;0.008279628766707849;0.09099246543922111
0.0;0.0;1.0;1.0;0.0;1.0;12.0;0.10684768446957547;0.01715950525820912;0.13099429475442478
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.04286520453489697;0.003344904870641746;0.05783515255138302
0.0;1.0;0.0;1.0;0.0;1.0;12.0;0.04270818614512249;0.0033161564533280862;0.057586078641700254
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.043123284437705266;0.0033637938740296563;0.05799822302475875
0.0;1.0;1.0;1.0;0.0;1.0;12.0;0.043138676028071594;0.003354985465526509;0.05792223636503091
1.0;0.0;0.0;1.0;0.0;1.0;5.0;0.042691484090985825;0.003387007581217011;0.05819800324080725
1.0;0.0;0.0;1.0;0.0;1.0;12.0;0.0427494953056664;0.0033756446908243093;0.05810029854333203
1.0;0.0;1.0;1.0;0.0;1.0;5.0;0.04322108107315872;0.003377620511061964;0.05811729958508021
1.0;0.0;1.0;1.0;0.0;1.0;12.0;0.04314374982020982;0.003452178874711206;0.0587552455080498
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.0432790403147019;0.0033951199834141113;0.0582676581253624
1.0;1.0;0.0;1.0;0.0;1.0;12.0;0.04312394329110603;0.003356588782199194;0.057936074963697654
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.04329663406769471;0.0033659714196049018;0.05801699250741029
1.0;1.0;1.0;1.0;0.0;1.0;12.0;0.043118833581541886;0.003348412110036286;0.057865465608048866
