autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;15.0;0.0442780126967419;0.004727985934108997;0.06876035146877157
0.0;0.0;0.0;1.0;0.0;1.0;10.0;0.15560061772840977;0.042145920106710026;0.20529471524301357
0.0;0.0;0.0;1.0;0.0;1.0;15.0;0.1799561356807676;0.05584975003976421;0.23632551711519476
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.08699818617511162;0.014988477963958803;0.12242743958753202
0.0;0.0;1.0;1.0;0.0;1.0;10.0;0.10436911776011598;0.020360181061619582;0.1426891063172644
0.0;0.0;1.0;1.0;0.0;1.0;15.0;0.13056365948658982;0.027726074977447383;0.1665114860225786
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.04467643365280985;0.004798356402751959;0.06927016964575702
0.0;1.0;0.0;1.0;0.0;1.0;10.0;0.04445961380379092;0.004782494422081546;0.06915558127932658
0.0;1.0;0.0;1.0;0.0;1.0;15.0;0.0442780126967419;0.004727985934108997;0.06876035146877157
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.04451859820869869;0.0047969014916817475;0.06925966713522198
0.0;1.0;1.0;1.0;0.0;1.0;10.0;0.04446579661357423;0.004783832572376557;0.06916525552888933
0.0;1.0;1.0;1.0;0.0;1.0;15.0;0.04428239209052669;0.00472942830420311;0.06877083905408679
1.0;0.0;0.0;1.0;0.0;1.0;5.0;0.04448539843763208;0.004776313826044665;0.06911088066321153
1.0;0.0;0.0;1.0;0.0;1.0;10.0;0.04442868686881077;0.004812378970097121;0.06937131229908455
1.0;0.0;0.0;1.0;0.0;1.0;15.0;0.04456549973417377;0.004786438414378347;0.06918409076065354
1.0;0.0;1.0;1.0;0.0;1.0;5.0;0.044648370667875796;0.0047799877770353825;0.06913745567371844
1.0;0.0;1.0;1.0;0.0;1.0;10.0;0.044311593364428;0.004788012515860695;0.06919546600652889
1.0;0.0;1.0;1.0;0.0;1.0;15.0;0.04458163473710733;0.004782464444552461;0.06915536453922039
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.04449408196830142;0.004786307183207897;0.06918314233401007
1.0;1.0;0.0;1.0;0.0;1.0;10.0;0.044465793030865626;0.004783813600807387;0.06916511838208178
1.0;1.0;0.0;1.0;0.0;1.0;15.0;0.04428271610284668;0.004729400474324327;0.06877063671600203
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.04449587170355848;0.004786594341996476;0.06918521765519334
1.0;1.0;1.0;1.0;0.0;1.0;10.0;0.044465795654903946;0.004783814571142551;0.0691651253967095
1.0;1.0;1.0;1.0;0.0;1.0;15.0;0.04428294385637565;0.004729429010250829;0.06877084418742313
