autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;12.0;13.948043568116221;362.31150286087467;19.03448194359055
0.0;0.0;0.0;1.0;0.0;1.0;12.0;43.43181663112509;3299.894330630599;57.44470672421088
0.0;0.0;1.0;1.0;0.0;1.0;5.0;614.6572624596553;1531905.8165763281;1237.7018286228424
0.0;1.0;0.0;1.0;0.0;1.0;5.0;14.06989504882076;374.1308566555675;19.342462528219293
0.0;1.0;0.0;1.0;0.0;1.0;12.0;13.948043568116221;362.31150286087467;19.03448194359055
0.0;1.0;1.0;1.0;0.0;1.0;5.0;14.04430624094469;374.8905730028723;19.362091131974157
0.0;1.0;1.0;1.0;0.0;1.0;12.0;13.940136166471042;363.56686028474854;19.067429304569313
1.0;0.0;1.0;1.0;0.0;1.0;5.0;13.788846054024951;362.5319027546616;19.04027055360983
1.0;0.0;1.0;1.0;0.0;1.0;12.0;49.000005685331274;222355.26283921028;471.5456105608558
1.0;1.0;0.0;1.0;0.0;1.0;5.0;14.043589404385347;375.0123996893002;19.365236886991603
1.0;1.0;0.0;1.0;0.0;1.0;12.0;13.941207459933459;363.71714301376613;19.07136972044132
1.0;1.0;1.0;1.0;0.0;1.0;5.0;14.074167971415022;375.913822859586;19.388497178986977
1.0;1.0;1.0;1.0;0.0;1.0;12.0;13.949092324175155;366.0472127729292;19.132360355505778
