autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;10.0;0.02624764782553387;0.0013915114007367394;0.03730296772023292
0.0;0.0;0.0;1.0;0.0;1.0;10.0;0.07979699224250132;0.011491612299190683;0.10719893795738222
0.0;0.0;0.0;1.0;0.0;1.0;15.0;0.09619728392187259;0.014678861205210364;0.12115635024715116
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.043133129775938465;0.0035132433636882116;0.059272619004800284
0.0;0.0;1.0;1.0;0.0;1.0;10.0;0.05276029456924154;0.005093416688411577;0.07136817700075837
0.0;0.0;1.0;1.0;0.0;1.0;15.0;0.06110722425161809;0.005978623285591027;0.07732155770282326
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.026361966672903938;0.0013997076787173454;0.037412667356356
0.0;1.0;0.0;1.0;0.0;1.0;10.0;0.02624764782553387;0.0013915114007367394;0.03730296772023292
0.0;1.0;0.0;1.0;0.0;1.0;15.0;0.026202480076569758;0.0013927738090149888;0.03731988490088078
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.02644060293986397;0.0014064925596158969;0.037503233988762846
0.0;1.0;1.0;1.0;0.0;1.0;10.0;0.026329743248126942;0.0013977043470351867;0.03738588432864985
0.0;1.0;1.0;1.0;0.0;1.0;15.0;0.02629362170959301;0.0013989651915338453;0.03740274310172778
1.0;0.0;0.0;1.0;0.0;1.0;10.0;0.04757328279853006;0.20324060120002022;0.4508221392079367
1.0;0.0;1.0;1.0;0.0;1.0;5.0;3.464985621999314;5614.0734033644385;74.92712061306266
1.0;0.0;1.0;1.0;0.0;1.0;10.0;0.02736307807401719;0.0015071375866866166;0.03882186995350194
1.0;0.0;1.0;1.0;0.0;1.0;15.0;0.026584404619434465;0.0014058082288940352;0.037494109255908924
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.026435654793260353;0.0014063342607014777;0.0375011234591909
1.0;1.0;0.0;1.0;0.0;1.0;10.0;0.026328537431784028;0.00139746120064053;0.03738263233963775
1.0;1.0;0.0;1.0;0.0;1.0;15.0;0.026295815196490466;0.0013989803638285103;0.03740294592446577
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.026429027743133778;0.001405729849722597;0.037493064021530666
1.0;1.0;1.0;1.0;0.0;1.0;10.0;0.026332828003584847;0.001397948027487065;0.037389143176690544
1.0;1.0;1.0;1.0;0.0;1.0;15.0;0.026308589677433034;0.0013997281551875159;0.03741294101226895
