autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.3971788357458654;0.3053043390225035;0.5525435177635364
0.0;0.0;0.0;1.0;0.0;1.0;12.0;1.2588543103894532;2.351950328212918;1.5336069666680958
0.0;0.0;1.0;1.0;0.0;1.0;5.0;2.374403452576623;194.52493141558975;13.947219486893786
0.0;0.0;1.0;1.0;0.0;1.0;12.0;8.369805282794488;3039.3107974787513;55.129944653325666
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.3972906236632549;0.30590516699848336;0.553086943435192
0.0;1.0;0.0;1.0;0.0;1.0;12.0;0.4066022554654169;0.31165034404127173;0.5582565217185301
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.3971788357458654;0.3053043390225035;0.5525435177635364
0.0;1.0;1.0;1.0;0.0;1.0;12.0;0.406694212600683;0.3114809017308574;0.5581047408245673
1.0;0.0;0.0;1.0;0.0;1.0;5.0;0.4026483037920851;0.309179723000496;0.5560393178548582
1.0;0.0;1.0;1.0;0.0;1.0;5.0;0.40202869916241935;0.3090048645394929;0.5558820599187321
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.39718323406779094;0.30528680872654657;0.5525276542640618
1.0;1.0;0.0;1.0;0.0;1.0;12.0;0.4066963549975379;0.31148252948653204;0.5581061991113627
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.39510417326471237;0.30821526189341125;0.5551713806505261
1.0;1.0;1.0;1.0;0.0;1.0;12.0;0.40384788833497914;0.309367932997296;0.5562085337328941
0.0;0.0;0.0;1.0;0.0;1.0;5.0;17.434347919244598;556.6819011088922;23.594107338674466
0.0;0.0;1.0;1.0;0.0;1.0;5.0;603.6415188280617;1427650.8766696472;1194.8434527877062
0.0;1.0;0.0;1.0;0.0;1.0;5.0;7.352775236126349;104.07299236558443;10.201617144628807
0.0;1.0;0.0;1.0;0.0;1.0;12.0;7.360194491746688;104.38172202279807;10.216737347255144
0.0;1.0;1.0;1.0;0.0;1.0;5.0;7.368126017334018;104.23886458677644;10.209743610237059
0.0;1.0;1.0;1.0;0.0;1.0;12.0;7.372658037438706;104.51906293537613;10.223456506259325
1.0;0.0;0.0;1.0;0.0;1.0;12.0;21.49185825998553;78119.08901303254;279.4979230925206
1.0;0.0;1.0;1.0;0.0;1.0;5.0;11619.19151167434;52734339130.278885;229639.58528589728
1.0;1.0;0.0;1.0;0.0;1.0;5.0;7.369456084507507;104.25197410503101;10.210385600212707
1.0;1.0;0.0;1.0;0.0;1.0;12.0;7.37624007290254;104.57102768839445;10.22599763780505
1.0;1.0;1.0;1.0;0.0;1.0;5.0;7.38519386897671;104.13386676299926;10.204600274533014
1.0;1.0;1.0;1.0;0.0;1.0;12.0;7.385911496102566;104.45284029675497;10.22021723334465
