autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.28249371450554117;0.15469978375665044;0.3933189338903614
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.9637832589468964;69.12178112216635;8.313950993490781
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.28249371450554117;0.15469978375665044;0.3933189338903614
0.0;1.0;0.0;1.0;0.0;1.0;12.0;0.2830089858591758;0.1559642816614858;0.39492313386466205
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.28332621481464565;0.1549770009063235;0.39367118373881965
0.0;1.0;1.0;1.0;0.0;1.0;12.0;0.2837824935840917;0.15618655147520488;0.39520444263090576
1.0;0.0;0.0;1.0;0.0;1.0;5.0;363.8325887648201;47071666.59313209;6860.879432924914
1.0;0.0;1.0;1.0;0.0;1.0;5.0;1.143524674863868;133.42438712961334;11.550947455928165
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.283239648067534;0.1549380073420664;0.39362165507256636
1.0;1.0;0.0;1.0;0.0;1.0;12.0;0.28370616492638756;0.15615731663347007;0.39516745391475505
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.2840716846074727;0.15456202472143493;0.39314377105765635
1.0;1.0;1.0;1.0;0.0;1.0;12.0;0.2856003828962594;0.15548184084736716;0.3943118573507106
0.0;0.0;0.0;1.0;0.0;1.0;5.0;12.011353438363532;274.6921484862101;16.57383928020934
0.0;0.0;0.0;1.0;0.0;1.0;12.0;38.147834096304386;120184.83500414615;346.6768452091171
0.0;1.0;0.0;1.0;0.0;1.0;5.0;5.025762742857132;56.035462740219494;7.485683852542765
0.0;1.0;0.0;1.0;0.0;1.0;12.0;4.996638114986973;55.64967176044786;7.459870760304622
0.0;1.0;1.0;1.0;0.0;1.0;5.0;5.046891658630283;55.869786404374985;7.4746094482839025
0.0;1.0;1.0;1.0;0.0;1.0;12.0;5.019388313234725;55.53797316016474;7.452380368725468
1.0;0.0;0.0;1.0;0.0;1.0;5.0;50.69241190892505;273247.02360846184;522.7303545887323
1.0;0.0;1.0;1.0;0.0;1.0;5.0;203.49034559127733;1189490.885263169;1090.6378341425575
1.0;1.0;0.0;1.0;0.0;1.0;5.0;5.044385880896582;55.84133457603368;7.472705974145756
1.0;1.0;0.0;1.0;0.0;1.0;12.0;5.015308499543225;55.486647475007665;7.448935996168021
1.0;1.0;1.0;1.0;0.0;1.0;5.0;5.039074190172908;55.97029080789039;7.481329481308145
1.0;1.0;1.0;1.0;0.0;1.0;12.0;5.008272205641688;55.85237617322973;7.473444732734011
