autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.015797409658388616;0.0005557707875276863;0.02357479135703403
0.0;0.0;0.0;1.0;0.0;1.0;10.0;0.04617405071736351;0.0039698935863359775;0.06300709155591915
0.0;0.0;0.0;1.0;0.0;1.0;15.0;0.05044297135113685;0.004556225538892803;0.06749981880637017
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.02474537190544415;0.0011574548753130742;0.034021388497724105
0.0;0.0;1.0;1.0;0.0;1.0;10.0;0.08671595564632117;0.1619006811838312;0.40236883724243755
0.0;0.0;1.0;1.0;0.0;1.0;15.0;0.035067619738375286;0.0023396493443833175;0.04836992189763508
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.015797409658388616;0.0005557707875276863;0.02357479135703403
0.0;1.0;0.0;1.0;0.0;1.0;10.0;0.015724879491843178;0.000563307568894234;0.02373410139217902
0.0;1.0;0.0;1.0;0.0;1.0;15.0;0.01585538185950467;0.0005673808009870585;0.023819756526611655
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.015925144811731295;0.0005352212234701271;0.023134848680510686
0.0;1.0;1.0;1.0;0.0;1.0;10.0;0.015955084538675557;0.0005412902576430823;0.023265645437921603
0.0;1.0;1.0;1.0;0.0;1.0;15.0;0.016030765038967762;0.0005453075864589582;0.02335182190877102
1.0;0.0;0.0;1.0;0.0;1.0;10.0;0.019339311209204152;0.0009012050670978002;0.030020077733040603
1.0;0.0;0.0;1.0;0.0;1.0;15.0;0.016163453580315408;0.0005865091034008605;0.024217950024741162
1.0;0.0;1.0;1.0;0.0;1.0;5.0;7.438654087763481;17826.635998955993;133.51642595185055
1.0;0.0;1.0;1.0;0.0;1.0;15.0;0.21899438813406638;16.110259450843415;4.013758768391969
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.01597968977311513;0.0005333800757561368;0.023095022748552053
1.0;1.0;0.0;1.0;0.0;1.0;10.0;0.015960377807557373;0.0005402484633586072;0.023243245542707826
1.0;1.0;0.0;1.0;0.0;1.0;15.0;0.016044434039190442;0.0005423978974297912;0.023289437464863578
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.015966007376829842;0.0005361799933487185;0.023155560743560465
1.0;1.0;1.0;1.0;0.0;1.0;10.0;0.015967946127412022;0.0005431670660374822;0.023305944864722438
1.0;1.0;1.0;1.0;0.0;1.0;15.0;0.01612550715293344;0.0005485240106535711;0.023420589459993767
