autoregressive(p);diferencial(d);media(q);sazonalidade(P);diferencial(D);media(Q);periodo(S);MAE;MSE;RMSE
0.0;1.0;0.0;1.0;0.0;1.0;12.0;0.11296314925902601;0.027801816360571448;0.16673876681975144
0.0;0.0;1.0;1.0;0.0;1.0;5.0;1468.5908157925387;3224919.9175590877;1795.8062026730745
0.0;1.0;0.0;1.0;0.0;1.0;5.0;9.27586193244392;170.13219300000316;13.04347319543392
0.0;1.0;0.0;1.0;0.0;1.0;12.0;9.197511187299526;171.82205424419243;13.10809117469788
0.0;1.0;1.0;1.0;0.0;1.0;5.0;9.2839257267009;170.7617845868925;13.067585262277515
0.0;1.0;1.0;1.0;0.0;1.0;12.0;9.229772826723966;172.80847044144176;13.145663560332045
1.0;0.0;0.0;1.0;0.0;1.0;5.0;87.5226719951833;364910.8764453079;604.0785349979818
1.0;0.0;1.0;1.0;0.0;1.0;5.0;9.127988705627894;169.22878589950074;13.008796481592782
1.0;1.0;0.0;1.0;0.0;1.0;5.0;9.28209380338876;170.63877899143162;13.062877898511937
1.0;1.0;0.0;1.0;0.0;1.0;12.0;9.219473591900394;172.4675635185498;13.13269064276433
1.0;1.0;1.0;1.0;0.0;1.0;5.0;9.272828809985185;171.20494976304343;13.08453093400919
1.0;1.0;1.0;1.0;0.0;1.0;12.0;9.254032551553447;172.939669404303;13.150652812856972
0.0;0.0;0.0;1.0;0.0;1.0;5.0;0.26871754668512265;0.13964498869651934;0.37369103373846063
0.0;0.0;0.0;1.0;0.0;1.0;12.0;28.77946986070803;301207.63604909804;548.823866143864
0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.22792476012468738;0.14442685335683567;0.3800353317217172
0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.11327592734288679;0.028244243692714437;0.16806023828590283
0.0;1.0;0.0;1.0;0.0;1.0;12.0;0.11296314925902601;0.027801816360571448;0.16673876681975144
0.0;1.0;1.0;1.0;0.0;1.0;5.0;0.11317028098026291;0.02831800915981679;0.16827955657125077
0.0;1.0;1.0;1.0;0.0;1.0;12.0;0.11249065211438948;0.027871138257171482;0.16694651316266382
1.0;0.0;0.0;1.0;0.0;1.0;5.0;0.11343200775830416;0.028317488750048466;0.16827801029857842
1.0;0.0;1.0;1.0;0.0;1.0;5.0;0.11304234480837753;0.02834534474686173;0.16836075774022202
1.0;0.0;1.0;1.0;0.0;1.0;12.0;0.11336584563215316;0.02856384983105922;0.16900843124252476
1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.11313294921931015;0.02831118689044197;0.16825928470798265
1.0;1.0;0.0;1.0;0.0;1.0;12.0;0.11246127019549398;0.027865414855950756;0.16692937086070492
1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.11401030810566577;0.02855376338612068;0.16897858854340297
1.0;1.0;1.0;1.0;0.0;1.0;12.0;0.11330167024327528;0.028054503079930154;0.1674947852320488
