Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;16/06/2023;17:50:00;121.155;121.200;121.060;121.075;943.333.387,36;38.942
WINFUT;16/06/2023;17:45:00;121.140;121.265;121.090;121.155;1.243.193.286,88;51.302
WINFUT;16/06/2023;17:40:00;121.220;121.230;121.115;121.145;1.444.546.649,90;59.608
WINFUT;16/06/2023;17:35:00;121.210;121.260;121.160;121.220;1.308.729.889,79;53.986
WINFUT;16/06/2023;17:30:00;121.145;121.215;121.140;121.210;974.950.080,75;40.227
WINFUT;16/06/2023;17:25:00;121.135;121.185;121.095;121.150;1.145.171.870,34;47.267
WINFUT;16/06/2023;17:20:00;121.045;121.165;121.040;121.130;1.683.676.397,51;69.514
WINFUT;16/06/2023;17:15:00;121.120;121.145;121.035;121.050;1.188.366.062,99;49.073
WINFUT;16/06/2023;17:10:00;121.125;121.160;121.095;121.120;1.077.332.671,31;44.471
WINFUT;16/06/2023;17:05:00;121.240;121.250;121.110;121.130;2.473.998.081,36;102.089
WINFUT;16/06/2023;17:00:00;121.095;121.280;121.075;121.240;2.820.123.980,56;116.359
WINFUT;16/06/2023;16:55:00;121.140;121.190;121.050;121.095;3.118.919.395,02;128.756
WINFUT;16/06/2023;16:50:00;121.195;121.195;121.115;121.140;1.842.435.041,81;76.043
WINFUT;16/06/2023;16:45:00;121.225;121.225;121.130;121.190;2.651.552.889,96;109.413
WINFUT;16/06/2023;16:40:00;121.310;121.310;121.150;121.230;3.785.957.801,03;156.151
WINFUT;16/06/2023;16:35:00;121.360;121.365;121.290;121.310;1.821.792.989,47;75.081
WINFUT;16/06/2023;16:30:00;121.235;121.390;121.215;121.360;3.392.512.802,08;139.813
WINFUT;16/06/2023;16:25:00;121.255;121.275;121.185;121.235;2.327.587.913,06;95.996
WINFUT;16/06/2023;16:20:00;121.340;121.370;121.230;121.255;2.283.869.844,43;94.147
WINFUT;16/06/2023;16:15:00;121.345;121.390;121.310;121.345;2.165.793.234,64;89.239
WINFUT;16/06/2023;16:10:00;121.405;121.440;121.335;121.350;1.752.440.175,44;72.187
WINFUT;16/06/2023;16:05:00;121.405;121.420;121.350;121.410;2.078.296.059,31;85.606
WINFUT;16/06/2023;16:00:00;121.505;121.515;121.360;121.410;4.498.450.584,65;185.223
WINFUT;16/06/2023;15:55:00;121.540;121.570;121.445;121.500;3.155.802.103,47;129.874
WINFUT;16/06/2023;15:50:00;121.530;121.560;121.510;121.540;1.032.325.561,56;42.470
WINFUT;16/06/2023;15:45:00;121.555;121.585;121.510;121.530;1.658.485.332,97;68.228
WINFUT;16/06/2023;15:40:00;121.505;121.595;121.475;121.560;2.583.420.530,86;106.285
WINFUT;16/06/2023;15:35:00;121.510;121.560;121.495;121.505;1.781.134.294,80;73.286
WINFUT;16/06/2023;15:30:00;121.485;121.570;121.440;121.510;3.378.888.006,86;139.042
WINFUT;16/06/2023;15:25:00;121.415;121.500;121.365;121.485;2.574.742.932,73;106.012
WINFUT;16/06/2023;15:20:00;121.370;121.440;121.365;121.415;2.449.172.519,90;100.871
WINFUT;16/06/2023;15:15:00;121.310;121.380;121.280;121.365;1.665.855.980,13;68.649
WINFUT;16/06/2023;15:10:00;121.330;121.385;121.290;121.315;2.437.470.760,74;100.441
WINFUT;16/06/2023;15:05:00;121.410;121.420;121.250;121.320;3.574.313.647,87;147.281
WINFUT;16/06/2023;15:00:00;121.505;121.515;121.405;121.410;2.616.021.339,41;107.694
WINFUT;16/06/2023;14:55:00;121.515;121.550;121.490;121.505;1.072.057.174,19;44.110
WINFUT;16/06/2023;14:50:00;121.550;121.600;121.505;121.515;1.565.455.223,60;64.395
WINFUT;16/06/2023;14:45:00;121.530;121.590;121.525;121.550;1.098.925.962,58;45.202
WINFUT;16/06/2023;14:40:00;121.575;121.595;121.530;121.530;1.223.939.210,44;50.343
WINFUT;16/06/2023;14:35:00;121.560;121.595;121.505;121.575;1.842.373.624,74;75.786
WINFUT;16/06/2023;14:30:00;121.615;121.615;121.530;121.560;1.610.702.339,24;66.247
WINFUT;16/06/2023;14:25:00;121.565;121.630;121.560;121.610;1.894.159.709,52;77.886
WINFUT;16/06/2023;14:20:00;121.565;121.605;121.540;121.565;1.218.723.878,35;50.126
WINFUT;16/06/2023;14:15:00;121.515;121.595;121.515;121.565;1.897.856.810,57;78.058
WINFUT;16/06/2023;14:10:00;121.530;121.545;121.480;121.520;1.776.010.278,75;73.082
WINFUT;16/06/2023;14:05:00;121.585;121.600;121.505;121.535;2.838.791.465,68;116.784
WINFUT;16/06/2023;14:00:00;121.750;121.780;121.575;121.580;3.545.192.847,48;145.674
WINFUT;16/06/2023;13:55:00;121.540;121.790;121.540;121.745;4.589.088.843,30;188.541
WINFUT;16/06/2023;13:50:00;121.480;121.605;121.455;121.545;2.962.421.717,64;121.877
WINFUT;16/06/2023;13:45:00;121.445;121.495;121.425;121.485;1.390.996.723,98;57.261
WINFUT;16/06/2023;13:40:00;121.375;121.485;121.345;121.445;2.284.649.326,45;94.074
