Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WDOFUT;22/04/2021;11:00:00;6.437,408;6.444,430;6.415,174;6.433,898;23.155.703.425,00;421.385
WDOFUT;22/04/2021;10:00:00;6.427,461;6.445,600;6.421,025;6.436,823;29.455.818.585,00;535.989
WDOFUT;22/04/2021;09:00:00;6.504,111;6.510,547;6.418,100;6.426,876;48.337.542.770,00;876.213
WDOFUT;20/04/2021;17:00:00;6.497,090;6.524,590;6.494,749;6.521,079;9.444.303.575,00;169.709
WDOFUT;20/04/2021;16:00:00;6.509,962;6.522,835;6.492,994;6.496,505;13.243.578.180,00;238.193
WDOFUT;20/04/2021;15:00:00;6.474,270;6.516,398;6.472,515;6.509,962;23.644.934.315,00;426.074
WDOFUT;20/04/2021;14:00:00;6.475,441;6.480,707;6.460,813;6.474,855;14.240.620.785,00;257.500
WDOFUT;20/04/2021;13:00:00;6.461,983;6.476,611;6.456,132;6.475,441;13.377.516.415,00;242.066
WDOFUT;20/04/2021;12:00:00;6.453,791;6.477,781;6.449,110;6.461,983;20.090.736.050,00;363.865
WDOFUT;20/04/2021;11:00:00;6.476,611;6.480,707;6.443,844;6.453,791;32.001.635.300,00;579.623
WDOFUT;20/04/2021;10:00:00;6.491,824;6.497,090;6.464,909;6.476,611;32.847.615.105,00;593.012
WDOFUT;20/04/2021;09:00:00;6.519,324;6.543,899;6.485,973;6.491,824;40.061.072.385,00;720.080
WDOFUT;19/04/2021;17:00:00;6.502,941;6.504,111;6.486,558;6.493,579;7.401.672.485,00;133.350
WDOFUT;19/04/2021;16:00:00;6.503,526;6.522,250;6.501,771;6.503,526;10.921.516.810,00;196.289
WDOFUT;19/04/2021;15:00:00;6.516,984;6.519,324;6.473,100;6.503,526;24.241.597.630,00;436.738
WDOFUT;19/04/2021;14:00:00;6.518,739;6.524,005;6.495,919;6.516,984;17.747.631.825,00;318.967
WDOFUT;19/04/2021;13:00:00;6.520,494;6.528,686;6.503,526;6.519,324;14.208.168.850,00;255.111
WDOFUT;19/04/2021;12:00:00;6.498,845;6.521,664;6.490,068;6.520,494;17.473.970.235,00;314.419
WDOFUT;19/04/2021;11:00:00;6.552,675;6.569,644;6.488,898;6.498,845;36.514.708.520,00;655.076
